chr	start	end	cid	rid	raw_coverage	norm_coverage	exp_coverage	methylpat
1	757121	757197	1	read0	6	4.20455	4.20455	4:M,7:U,11:U,18:M,20:M,23:M,26:U,27:U,28:U,31:U,34:M,36:U,40:U,48:M,55:M,58:M,69:M
1	757121	757197	1	read2	5	4.79167	4.79167	4:U,7:M,11:U,18:M,20:U,23:U,26:M,27:M,28:M,31:M,34:M,36:M,40:U,48:U,55:M,58:U,69:M
1	757122	757198	1	read4	5	5.54167	5.54167	3:U,6:U,10:U,17:U,19:U,22:U,25:M,26:M,27:M,30:U,33:M,35:U,39:U,47:U,54:U,57:U,68:U
1	757123	757198	1	read6	5	4.37121	4.37121	2:M,5:U,9:U,16:M,18:U,21:M,24:U,25:U,26:U,29:U,32:U,34:U,38:M,46:M,53:M,56:M,67:M
1	757123	757197	1	read7	7	5.03409	5.03409	2:U,5:M,9:U,16:U,18:U,21:M,24:U,25:M,26:M,29:M,32:M,34:M,38:M,46:U,53:U,56:M,67:U
1	757123	757194	1	read9	2	1.70455	1.70455	2:U,5:M,9:M,16:M,18:M,21:M,24:M,25:M,26:M,29:M,32:M,34:U,38:U,46:M,53:U,56:M,67:U
1	757123	757197	1	read10	5	3.70076	3.70076	2:U,5:M,9:M,16:M,18:U,21:M,24:U,25:U,26:U,29:U,32:U,34:M,38:M,46:U,53:M,56:M,67:M
1	757123	757193	1	read11	2	1.07955	3.70653	2:U,5:U,9:M,16:U,18:M,21:U,24:U,25:M,26:M,29:M,32:U,34:U,38:U,46:U,53:M,56:M,67:U
1	757123	757197	1	read12	3	2.20455	3.0187	2:M,5:M,9:U,16:M,18:M,21:U,24:U,25:U,26:U,29:M,32:U,34:U,38:U,46:M,53:U,56:U,67:M
1	757128	757197	1	read36	1	0.5	0.735189	0:M,4:M,11:U,13:M,16:U,19:U,20:U,21:U,24:M,27:U,29:M,33:U,41:M,48:M,51:U,62:M
1	757132	757205	1	read48	2	2.5	4.55817	0:U,7:M,9:M,12:M,15:U,16:U,17:U,20:U,23:M,25:U,29:U,37:M,44:M,47:M,58:M,67:M,68:U
1	757162	757232	1	read164	3	3.09524	3.09524	7:M,14:M,17:M,28:M,37:U,38:U,48:U,49:M,50:M,51:M,55:M,63:M,69:U
1	757170	757239	1	read203	1	1.66667	1.66667	6:M,9:M,20:M,29:U,30:U,40:M,41:M,42:M,43:M,47:M,55:M,61:U,63:U,64:U,68:U,69:U
1	757180	757249	1	read234	2	2.5	2.5	10:M,19:M,20:M,30:U,31:U,32:U,33:U,37:M,45:M,51:U,53:M,54:U,58:M,59:U,61:U,65:U,67:M
1	757181	757251	1	read237	3	2.67857	2.67857	9:M,18:M,19:M,29:M,30:M,31:M,32:M,36:M,44:U,50:U,52:U,53:U,57:U,58:M,60:M,64:U,66:U
1	757182	757251	1	read241	1	0.714286	0.714286	8:M,17:M,18:M,28:U,29:M,30:M,31:U,35:U,43:M,49:U,51:U,52:U,56:U,57:U,59:M,63:M,65:U
1	757191	757261	1	read267	2	1.38889	1.38889	8:U,9:M,19:U,20:U,21:U,22:M,26:U,34:M,40:M,42:M,43:M,47:M,48:U,50:M,54:U,56:U,61:U,62:U,64:M,66:M,69:M
1	757192	757261	1	read272	2	1.11111	1.11111	7:M,8:M,18:M,19:M,20:M,21:M,25:M,33:U,39:M,41:U,42:U,46:U,47:U,49:M,53:U,55:U,60:M,61:M,63:U,65:U,68:U
1	757193	757262	1	read280	2	1.11111	1.11111	6:M,7:M,17:U,18:M,19:M,20:M,24:M,32:M,38:M,40:U,41:M,45:M,46:M,48:U,52:U,54:M,59:M,60:M,62:M,64:U,67:U,69:U
1	757193	757263	1	read284	2	1.11111	1.11111	6:M,7:M,17:U,18:M,19:U,20:U,24:M,32:M,38:U,40:M,41:M,45:U,46:U,48:U,52:U,54:M,59:U,60:U,62:M,64:M,67:M,69:U
1	757135	757207	1	read57	3	3.25	3.25	4:M,6:U,9:U,12:M,13:M,14:M,17:M,20:M,22:M,26:U,34:U,41:M,44:U,55:M,64:M,65:M
1	757180	757249	1	read233	1	1.25	1.25	10:M,19:U,20:U,30:M,31:M,32:M,33:M,37:M,45:M,51:U,53:U,54:U,58:U,59:U,61:U,65:M,67:U
1	757181	757250	1	read238	1	1.25	1.25	9:M,18:U,19:U,29:U,30:M,31:M,32:M,36:M,44:M,50:U,52:M,53:M,57:U,58:U,60:U,64:M,66:M
1	757182	757251	1	read239	1	0.714286	0.714286	8:M,17:M,18:U,28:M,29:M,30:U,31:M,35:M,43:M,49:U,51:U,52:U,56:M,57:U,59:M,63:M,65:U
1	757131	757203	1	read41	4	4.5	4.5	1:U,8:U,10:U,13:U,16:M,17:M,18:M,21:U,24:M,26:U,30:U,38:U,45:U,48:U,59:U,68:M,69:M
1	757185	757254	1	read253	1	1	1.04035	5:U,14:U,15:M,25:U,26:U,27:U,28:M,32:U,40:M,46:M,48:M,49:M,53:M,54:U,56:M,60:U,62:U,67:U,68:U
1	757191	757261	1	read266	3	2.22222	2.22222	8:M,9:U,19:M,20:M,21:U,22:M,26:M,34:M,40:U,42:U,43:U,47:M,48:U,50:M,54:M,56:U,61:M,62:M,64:M,66:U,69:U
1	757192	757261	1	read276	1	0.555556	0.555556	7:U,8:U,18:U,19:M,20:M,21:M,25:M,33:M,39:U,41:M,42:M,46:U,47:U,49:U,53:M,55:M,60:U,61:U,63:M,65:U,68:M
1	757193	757263	1	read282	5	2.77778	2.77778	6:U,7:U,17:M,18:M,19:M,20:M,24:M,32:M,38:U,40:U,41:U,45:U,46:U,48:U,52:M,54:U,59:M,60:M,62:U,64:M,67:U,69:M
1	757131	757208	1	read42	5	6	6	1:U,8:M,10:U,13:M,16:U,17:U,18:U,21:U,24:U,26:U,30:M,38:M,45:M,48:M,59:M,68:U,69:U
1	757162	757231	1	read168	1	0.714286	0.827067	7:M,14:M,17:M,28:M,37:M,38:U,48:M,49:M,50:U,51:M,55:M,63:M,69:U
1	757131	757206	1	read44	6	7	7	1:U,8:U,10:U,13:M,16:U,17:M,18:M,21:M,24:M,26:M,30:M,38:U,45:U,48:M,59:U,68:M,69:M
1	757172	757241	1	read206	1	0.833333	0.833333	4:U,7:M,18:U,27:U,28:M,38:U,39:U,40:U,41:M,45:U,53:M,59:M,61:M,62:M,66:M,67:U,69:M
1	757132	757201	1	read46	1	0.833333	2.0464	0:M,7:M,9:M,12:M,15:M,16:M,17:M,20:M,23:M,25:U,29:U,37:M,44:U,47:M,58:U,67:U,68:M
1	757173	757242	1	read211	1	1.66667	1.66667	3:U,6:M,17:U,26:M,27:M,37:M,38:M,39:M,40:M,44:M,52:U,58:M,60:U,61:U,65:U,66:U,68:M
1	757177	757246	1	read224	1	1	1	2:M,13:U,22:M,23:M,33:U,34:M,35:U,36:U,40:M,48:M,54:U,56:M,57:M,61:U,62:U,64:U,68:U
1	757185	757254	1	read255	1	1	1	5:U,14:M,15:M,25:U,26:M,27:M,28:M,32:M,40:M,46:M,48:U,49:M,53:M,54:M,56:U,60:U,62:M,67:M,68:M
1	757191	757261	1	read268	2	1.38889	1.38889	8:M,9:M,19:U,20:U,21:U,22:U,26:M,34:M,40:U,42:M,43:U,47:M,48:U,50:U,54:U,56:M,61:U,62:M,64:U,66:M,69:M
1	757192	757261	1	read271	2	1.11111	1.11111	7:M,8:M,18:M,19:M,20:M,21:M,25:M,33:U,39:U,41:U,42:U,46:U,47:M,49:M,53:U,55:U,60:M,61:M,63:M,65:U,68:U
1	757135	757209	1	read56	3	5	5	4:M,6:U,9:M,12:U,13:U,14:U,17:U,20:U,22:M,26:M,34:U,41:M,44:M,55:M,64:U,65:U
1	757175	757244	1	read218	1	0.714286	1.85127	1:M,4:M,15:M,24:M,25:U,35:M,36:M,37:U,38:M,42:M,50:M,56:U,58:U,59:U,63:M,64:U,66:M
1	757138	757207	1	read65	1	1	1	1:U,3:M,6:U,9:U,10:M,11:M,14:M,17:U,19:U,23:U,31:U,38:M,41:M,52:U,61:M,62:M
