pos	unmethyl	 methyl
11007845	0.7	0.3
11007869	0.8	0.2
11007889	0.6	0.4
11008616	0.7	0.3
11008635	0.7	0.3
11008647	0.7	0.3
11008862	0.4	0.6
11008942	0.6	0.4
11008952	0.6	0.4
11009019	0.4	0.6
11009125	0.6	0.4
11009296	0.4	0.6
11009467	0.4	0.6
11009769	0.4	0.6
11010103	0.2	0.8
11010151	0.5	0.5
11010174	0.4	0.6
11010285	0.5	0.5
11010317	0.5	0.5
11010659	0.3	0.7
11010733	0.7	0.3
11010740	0.7	0.3
11011310	0.6	0.4
11011345	0.2	0.8
11011385	0.5	0.5
11011535	0.4	0.6
11011581	0.5	0.5
11011645	0.3	0.7
11011667	0.5	0.5
11013248	0.6	0.4
11013565	0.5	0.5
11013573	0.5	0.5
11013590	0.5	0.5
11013641	0.6	0.4
11014173	0.6	0.4
11014195	0.7	0.3
11014257	0.5	0.5
11014372	0.4	0.6
11014393	0.4	0.6
11014444	0.5	0.5
11014448	0.5	0.5
11014457	0.5	0.5
11014514	0.8	0.2
11014583	0.4	0.6
11014591	0.4	0.6
11014604	0.4	0.6
11014610	0.4	0.6
11014707	0.2	0.8
11014736	0.6	0.4
11014744	0.6	0.4
11014794	0.7	0.3
11014813	0.7	0.3
11014894	0.3	0.7
11014906	0.3	0.7
11014969	0.5	0.5
11015026	0.5	0.5
11015031	0.5	0.5
11015039	0.5	0.5
11015042	0.5	0.5
11015044	0.5	0.5
11015049	0.5	0.5
11015057	0.5	0.5
11015064	0.5	0.5
11015067	0.5	0.5
11015078	0.5	0.5
11015081	0.5	0.5
11015084	0.5	0.5
11015093	0.5	0.5
11015101	0.5	0.5
11015120	0.5	0.5
11015126	0.5	0.5
11015134	0.5	0.5
11015165	0.5	0.5
11015168	0.5	0.5
11015192	0.3	0.7
11016317	0.4	0.6
11016325	0.4	0.6
11016337	0.4	0.6
11016695	0.2	0.8
11017134	0.6	0.4
11017169	0.8	0.2
11017209	0.7	0.3
11017359	0.5	0.5
11017438	0.4	0.6
11017469	0.4	0.6
11017580	0.6	0.4
11018198	0.5	0.5
11019226	0.5	0.5
11019682	0.7	0.3
11019726	0.3	0.7
11019854	0.7	0.3
11020102	0.5	0.5
11020705	0.6	0.4
11020718	0.6	0.4
11021547	0.7	0.3
11021932	0.4	0.6
11023425	0.3	0.7
11024005	0.4	0.6
11024096	0.6	0.4
11024328	0.4	0.6
