chr	start	end	cid	pid	abundance	methylpat	regions
13	19218085	19218165	1	1	0.426829	5:U,8:U,22:U	2
13	19218085	19218165	1	2	0.229717	5:M,8:M,22:M	0
13	19218085	19218165	1	3	0.201805	5:M,8:M,22:U	5
13	19218085	19218165	1	4	0.0866997	5:U,8:U,22:M	4
13	19218085	19218165	1	5	0.0619989	5:M,8:U,22:U	6
13	19218085	19218165	1	6	0.0563178	5:U,8:M,22:U	1
13	19218085	19218164	1	7	0.0205078	5:M,8:U,22:M	3
13	19239922	19240004	2	1	0.344488	13:M,71:U	0
13	19239922	19240003	2	2	0.0726913	13:M,71:M	2
13	19239922	19240002	2	3	0.0143264	13:U,71:U	1
13	19239923	19240002	2	4	0.00707143	12:U,70:M	4
13	19242519	19242598	3	1	0.0125	63:U	0
13	19631347	19631419	4	1	0.0136986	1:M,25:M,31:M,37:M	0
13	19631347	19631426	4	2	0.0125	1:U,25:U,31:U,37:U	1
13	19631347	19631426	4	3	0.0125	1:U,25:M,31:M,37:U	2
13	19631609	19631690	5	1	0.731707	*	0
13	19631727	19631808	6	1	0.35394	56:M,60:M,64:M	0
13	19631728	19631808	6	2	0.193355	55:U,59:M,63:M	7
13	19631728	19631808	6	3	0.0591348	55:M,59:U,63:M	8
13	19631728	19631807	6	4	0.00275735	55:M,59:M,63:U	2
13	19631728	19631807	6	5	0.00275735	55:M,59:U,63:U	1
13	19631728	19631807	6	6	0.00275735	55:U,59:U,63:U	12
13	19633203	19633282	7	1	0.0863636	32:U,42:U,71:M,76:M	1
13	19633202	19633281	7	2	0.059375	33:U,43:U,72:M,77:U	0
13	19633203	19633282	7	3	0.0215909	32:M,42:M,71:M,76:M	8
13	19633203	19633282	7	4	0.0107954	32:M,42:U,71:M,76:M	2
13	19633439	19633520	8	1	0.097561	*	0
13	19633557	19633637	9	1	0.0356653	8:M,79:M	0
13	19633557	19633637	9	2	0.0150892	8:M,79:U	1
13	19648309	19648445	10	1	0.0583942	15:M,32:M,55:U	0
13	19648507	19648587	11	1	0.0504115	3:U,53:U	2
13	19648507	19648586	11	2	0.0145833	3:M,53:U	12
13	19648507	19648586	11	3	0.00729167	3:M,53:M	0
13	19648625	19648705	12	1	0.0518519	7:U,67:U	12
13	19648625	19648704	12	2	0.0075	7:U,67:M	0
13	19658903	19658982	13	1	0.0125	*	0
13	19687792	19687871	14	1	0.0125	25:M,41:M,63:U	0
13	19728251	19728372	15	1	0.0992332	15:M,66:M	0
13	19728285	19728372	15	2	0.0506109	32:U	1
