pos	unmethyl	 methyl
757121	0.6	0.4
757127	0.6	0.4
757128	0.6	0.4
757133	0.6	0.4
757134	0.6	0.4
757138	0.6	0.4
757149	0.4	0.6
757150	0.4	0.6
757154	0.4	0.6
757156	0.4	0.6
757157	0.4	0.6
757160	0.4	0.6
757161	0.4	0.6
757162	0.4	0.6
757163	0.4	0.6
757164	0.4	0.6
757166	0.4	0.6
757168	0.4	0.6
757169	0.4	0.6
757170	0.4	0.6
757171	0.4	0.6
757172	0.4	0.6
757176	0.4	0.6
757178	0.4	0.6
757180	0.4	0.6
757181	0.4	0.6
757187	0.4	0.6
757194	0.4	0.6
757195	0.4	0.6
757200	0.4	0.6
757201	0.4	0.6
757202	0.4	0.6
757204	0.4	0.6
757205	0.4	0.6
757208	0.4	0.6
757212	0.4	0.6
757213	0.4	0.6
757214	0.4	0.6
757216	0.4	0.6
757218	0.4	0.6
757220	0.4	0.6
757221	0.4	0.6
757222	0.4	0.6
757227	0.4	0.6
757231	0.4	0.6
757232	0.4	0.6
757234	0.4	0.6
757236	0.4	0.6
757238	0.4	0.6
757241	0.4	0.6
757242	0.4	0.6
757244	0.4	0.6
757246	0.4	0.6
757248	0.4	0.6
757249	0.4	0.6
757250	0.4	0.6
757254	0.4	0.6
757255	0.4	0.6
757256	0.4	0.6
757258	0.4	0.6
757263	0.4	0.6
757264	0.4	0.6
757267	0.4	0.6
757268	0.4	0.6
757271	0.4	0.6
757272	0.4	0.6
757277	0.4	0.6
757280	0.4	0.6
757285	0.4	0.6
757287	0.4	0.6
757289	0.4	0.6
757296	0.5	0.5
757299	0.5	0.5
757300	0.5	0.5
757305	0.5	0.5
757306	0.5	0.5
757307	0.5	0.5
757310	0.5	0.5
757315	0.5	0.5
757318	0.5	0.5
757321	0.5	0.5
757322	0.5	0.5
757323	0.5	0.5
757324	0.5	0.5
757328	0.5	0.5
757329	0.5	0.5
757333	0.5	0.5
757336	0.5	0.5
757337	0.5	0.5
757338	0.5	0.5
757345	0.6	0.4
757347	0.6	0.4
757350	0.6	0.4
