pos	unmethyl	 methyl
757123	0.229838	0.770162
757124	1	0
757128	0.229838	0.770162
757130	1	0
757131	1	0
757141	0.770162	0.229838
757144	0	1
757150	0.229838	0.770162
757151	1	0
757156	0	1
757157	0	1
757158	0.770162	0.229838
757160	0.770162	0.229838
757168	1	0
757171	0	1
757173	1	0
757175	0	1
757186	1	0
757189	0.770162	0.229838
757193	0	1
757194	0.758327	0.241673
757202	0	1
757210	1	0
757213	0.761553	0.238447
757225	0	1
757227	1	0
757237	1	0
757239	0.733256	0.266744
757240	0.733256	0.266744
757244	0.733256	0.266744
757248	0	1
757249	0	1
757250	0	1
757251	0	1
757252	0.724119	0.275881
757254	1	0
757258	0.700173	0.299827
757265	0	1
757269	0	1
757277	0.303091	0.696909
757278	0.303091	0.696909
757281	0	1
757282	0	1
757286	0.689246	0.310754
757289	0	1
757291	0	1
757296	0.310754	0.689246
757299	0.689246	0.310754
757300	1	0
757302	0.310754	0.689246
757306	0.689246	0.310754
757307	0.689246	0.310754
757308	0.689246	0.310754
757309	0	1
757311	0.689246	0.310754
757317	0.310754	0.689246
757318	1	0
757325	0.689246	0.310754
757326	1	0
757336	0	1
757340	0	1
757342	0.689246	0.310754
757343	0	1
757345	0	1
757346	1	0
757347	1	0
757350	0.689246	0
