chr	pos	Cov	Meth
1	757135	3	1
1	757136	5	1
1	757141	6	1
1	757142	6	1
1	757154	9	3
1	757155	10	3
1	757157	10	3
1	757160	10	3
1	757161	10	3
1	757168	13	3
1	757173	14	4
1	757174	15	4
1	757175	15	4
1	757176	15	4
1	757177	16	4
1	757182	19	5
1	757185	20	5
1	757188	24	5
1	757192	26	5
1	757200	26	4
1	757203	26	4
1	757214	25	8
1	757215	24	7
1	757216	24	7
1	757220	23	7
1	757223	22	7
1	757227	22	8
1	757228	22	8
1	757230	22	8
1	757233	19	7
1	757235	20	7
1	757236	21	8
1	757237	21	8
1	757241	21	8
1	757242	21	8
1	757243	21	8
1	757247	20	9
1	757252	21	9
1	757253	20	8
1	757259	16	8
1	757260	16	8
1	757266	14	9
1	757269	14	9
1	757271	14	9
1	757272	14	9
1	757277	13	9
1	757279	16	10
1	757282	16	10
1	757285	16	10
1	757286	17	11
1	757288	18	12
1	757289	18	12
1	757293	19	13
1	757294	19	13
1	757298	19	12
1	757308	16	13
1	757312	18	14
1	757315	17	13
1	757321	14	12
1	757323	14	12
1	757324	15	13
1	757326	15	13
1	757331	17	14
1	757332	17	14
1	757338	18	14
1	757340	18	14
1	757341	19	14
1	757342	20	15
1	757349	22	17
1	757350	22	17
1	757351	22	17
1	757359	23	17
1	757361	23	17
1	757367	23	17
1	757368	23	17
1	757371	23	17
1	757372	23	17
1	757373	23	17
1	757376	23	17
1	757379	23	18
1	757382	23	17
1	757387	23	17
1	757388	24	18
1	757389	24	18
1	757391	26	19
1	757393	28	21
1	757403	26	8
1	757404	27	9
1	757406	26	9
1	757407	25	9
1	757409	25	9
1	757413	25	9
1	757414	25	9
1	757418	24	10
1	757423	25	10
1	757424	25	10
1	757427	23	10
1	757430	22	9
1	757432	22	9
1	757435	22	9
1	757438	22	9
1	757442	24	11
1	757443	24	11
1	757444	25	12
1	757446	26	12
1	757455	24	12
1	757460	25	12
1	757463	21	10
1	757464	22	10
1	757465	24	12
1	757472	26	13
1	757474	27	14
1	757476	26	13
1	757477	26	13
1	757488	25	11
1	757491	28	13
1	757494	28	14
1	757495	29	15
1	757499	30	16
1	757504	31	15
1	757520	30	18
1	757525	30	18
1	757538	30	0
1	757541	31	0
1	757545	29	0
1	757551	28	0
1	757565	18	3
1	757568	17	3
1	757569	17	3
1	757572	16	3
1	757573	16	3
1	757575	15	3
1	757579	14	3
1	757580	13	3
1	757582	13	3
1	757584	12	3
1	757593	12	3
1	757601	7	1
1	757605	6	1
1	757609	3	1
1	757614	1	0
1	757616	1	0
