pos	unmethyl	 methyl
11007845	0.632113	0.367887
11007869	0.367887	0.632113
11007889	0.288049	0.711951
11008616	0.401142	0.598858
11008635	0.401142	0.598858
11008647	0.401142	0.598858
11008862	0.330116	0.669883
11008942	0.712676	0.287324
11008952	0.57605	0.42395
11009019	0.0346836	0.965316
11009125	0.897863	0.102137
11009296	0.46547	0.53453
11009467	0.260277	0.739723
11009769	0.305299	0.6947
11010103	0.417503	0.582497
11010151	0.435508	0.564492
11010174	0.70449	0.29551
11010285	0.48861	0.511389
11010317	0.772446	0.227554
11010659	0.455436	0.544564
11010733	0.37653	0.623469
11010740	0.205875	0.794125
11011310	0.693044	0.306956
11011345	0.326494	0.673506
11011385	0.565428	0.434572
11011535	0.653542	0.346458
11011581	0.239808	0.760192
11011645	0.760192	0.239808
11011667	0.379286	0.620714
11013248	0.257744	0.742255
11013565	0.228622	0.771378
11013573	0.325054	0.674946
11013590	0.325054	0.674946
11013641	0.557507	0.442492
11014173	0.564752	0.435248
11014195	0.227491	0.772509
11014257	0.711123	0.288877
11014372	0.517185	0.482815
11014393	0.383012	0.616988
11014444	0.166764	0.833236
11014448	0.166764	0.833236
11014457	0.166764	0.833236
11014514	0.282717	0.717283
11014583	0.500265	0.499735
11014591	0.454066	0.545934
11014604	0.465133	0.534867
11014610	0.5226	0.4774
11014707	0.717538	0.282462
11014736	0.337383	0.662617
11014744	0.337383	0.662617
11014794	0.607904	0.392096
11014813	0.641215	0.358785
11014894	0.721869	0.278131
11014906	0.721869	0.278131
11014969	0.449473	0.550526
11015026	0.422772	0.577228
11015031	0.422772	0.577228
11015039	0.422772	0.577228
11015042	0.422772	0.577228
11015044	0.422772	0.577228
11015049	0.422772	0.577228
11015057	0.422772	0.577228
11015064	0.422772	0.577228
11015067	0.422772	0.577228
11015078	0.420448	0.579552
11015081	0.420448	0.579552
11015084	0.420448	0.579552
11015093	0.420448	0.579552
11015101	0.420448	0.579552
11015120	0.393482	0.606518
11015126	0.393482	0.606518
11015134	0.393482	0.606518
11015165	0.528796	0.471204
11015168	0.528796	0.471204
11015192	0.700616	0.299384
11016317	0.407369	0.592631
11016325	0.407369	0.592631
11016337	0.407369	0.592631
11016695	0.601745	0.398254
11017134	0.370811	0.629189
11017169	0.605134	0.394866
11017209	0.519302	0.480697
11017359	0.516463	0.483537
11017438	0.30102	0.69898
11017469	0.727165	0.272835
11017580	0.599841	0.400159
11018198	0.638784	0.361216
11019226	0.975817	0.0241827
11019682	0.412353	0.587647
11019726	0.822251	0.177749
11019854	0.55582	0.44418
11020102	0.897416	0.102584
11020705	0.533683	0.466317
11020718	0.387004	0.612996
11021547	0.512036	0.487964
11021932	0	1
11023425	0.528025	0.471975
11024005	0.549376	0.450624
11024096	0.346084	0.653916
11024328	0.386264	0.613736
