chr	start	end	cid	rid	raw_coverage	norm_coverage	exp_coverage	methylpat
13	19218085	19218166	1	0	55	80	80	5:U,8:U,22:U
13	19218085	19218165	1	1	23	6	6	5:M,8:M,22:M
13	19218085	19218165	1	2	9	2	2	5:U,8:U,22:M
13	19218085	19218165	1	3	16	11.5	11.5	5:M,8:M,22:U
13	19218085	19218165	1	4	6	5	5	5:U,8:M,22:M
13	19218085	19218157	1	5	1	0.5	0.5	5:M,8:U,22:U
13	19218085	19218165	1	6	5	3	3	5:U,8:M,22:U
13	19239922	19240002	2	0	3	1.46731	1.46731	13:U,71:U
13	19239922	19240002	2	1	3	0.834615	0.834615	13:U,71:M
13	19239922	19240009	2	2	41	8.50769	8.50769	13:M,71:M,83:M
13	19239923	19240002	2	3	10	0.673077	0.673077	12:M,70:U
13	19300926	19300998	3	0	1	1	1	17:M,40:M,52:M,67:M
13	19588404	19588483	4	0	1	1	1	*
13	19589682	19589761	5	0	1	1	1	*
13	19631347	19631426	6	0	1	1	1	1:M,25:M,31:M,37:M
13	19631610	19631697	7	0	46	52	52	*
13	19631728	19631808	8	0	43	47.0213	47.0213	55:M,59:M,63:M
13	19631728	19631807	8	3	1	0.553191	0.553191	55:M,59:U,63:M
13	19631728	19631807	8	13	3	1.65957	1.65957	55:U,59:U,63:U
13	19631728	19631807	8	2	2	1.10638	1.10638	55:U,59:M,63:M
13	19633203	19633282	9	0	2	2	2	32:U,42:U,71:M,76:M
13	19633203	19633282	9	3	1	1	1	32:M,42:M,71:M,76:M
13	19633203	19633282	9	13	1	1	1	32:M,42:U,71:M,76:M
13	19633557	19633636	10	0	1	1	1	8:M,79:U
13	19633557	19633636	10	3	1	1	1	8:M,79:M
13	19648309	19648445	11	0	3	4	4	15:M,32:M,55:M
13	19648507	19648586	12	0	1	1	1	3:M,53:M
13	19648625	19648705	13	0	2	2.25	2.25	7:M,67:M
13	19658167	19658246	14	0	1	1	1	*
13	19687673	19687745	15	0	1	1	1	*
13	19687792	19687871	16	0	1	1	1	25:M,41:M,63:U
13	19728251	19728372	17	0	20	8.5	8.5	15:M,66:M
13	19728286	19728367	17	13	12	2.5	2.5	31:U
13	19728404	19728498	18	0	6	6.66667	6.66667	6:M,20:M
13	19728404	19728483	18	13	2	1.66667	1.66667	6:M,20:U
13	19745961	19746040	19	0	1	1	1	2:M
13	19746058	19746138	20	0	5	4.5	4.5	*
13	19746140	19746220	21	0	76	112.5	112.5	*
13	19746258	19746338	22	0	30	44.3986	44.3986	4:U,79:U
13	19746258	19746337	22	1	22	12.7875	12.7875	4:M,79:M
13	19746258	19746338	22	13	23	25.3514	25.3514	4:M,79:U
13	19746258	19746337	22	15	9	5.23125	5.23125	4:U,79:M
13	19747276	19747356	23	0	16	13.5	13.5	*
13	19747394	19747474	24	0	11	11.1974	11.1974	34:M,46:M
13	19747394	19747473	24	13	1	0.605263	0.605263	34:M,46:U
13	19747395	19747474	24	1	2	5.75	5.75	33:U,45:U
13	19872760	19872839	25	0	14	2	2	14:M
13	19872760	19872832	25	13	2	2	2	14:U
13	19873003	19873082	26	0	2	1.25	1.25	27:M
13	19873005	19873084	26	13	1	2.5	2.5	25:U
13	19873121	19873200	27	0	1	1	1	*
13	19910041	19910133	28	0	9	12	12	7:M
13	19910160	19910239	29	0	5	5	5	*
13	19919168	19919247	30	0	4	4	4	8:M,19:M,39:M,45:M,51:M
13	19919168	19919247	30	2	1	1	1	8:U,19:M,39:M,45:M,51:M
13	19942918	19942997	31	0	1	1	1	*
13	20003472	20003551	32	0	1	1	1	72:U
13	20003472	20003551	32	2	1	1	1	72:M
13	20064742	20064821	33	0	5	5	5	*
13	20090547	20090626	34	0	1	1	1	*
13	20138999	20139078	35	0	1	1	1	6:U,9:M,14:M,18:M,28:M,51:M,72:U,75:M
13	20139198	20139277	36	0	1	1	1	7:U,21:U,26:U,48:U,50:U,55:U,73:M,77:M
13	20175891	20176041	37	0	10	7.33333	7.33333	3:M,17:U,35:U,75:U,80:U,88:U,90:U,104:U,106:U,117:U,126:U,128:U,131:U,133:U,139:U,141:U
13	20175961	20176041	37	1	3	3.33333	0.724208	5:M,10:U,18:U,20:U,34:U,36:U,47:U,56:U,58:U,61:U,63:U,69:U,71:U
13	20176009	20176158	37	5	9	6.4	6.4	8:U,10:U,13:U,15:U,21:U,23:U,33:U,40:U,44:U,54:U,63:U,73:U,76:U,98:U,108:U,121:U,126:U,134:U,147:M
13	20176009	20176089	37	6	2	2.8	2.8	8:U,10:U,13:U,15:U,21:U,23:U,33:U,40:U,44:U,54:U,63:U,73:U,76:M
13	20176568	20176648	38	0	20	6.83871	2.7125	1:M,8:U,10:U,13:U,16:U,21:U,27:U,39:U,45:U
13	20176568	20176648	38	1	10	3.03226	0	1:U,8:U,10:U,13:U,16:U,21:U,27:U,39:U,45:U
13	20176568	20176647	38	5	1	0.225806	0	1:M,8:M,10:U,13:U,16:M,21:M,27:U,39:U,45:U
13	20176568	20176647	38	6	1	0.225806	0	1:M,8:U,10:M,13:M,16:U,21:M,27:U,39:U,45:U
13	20176568	20176647	38	4	1	0.225806	0	1:U,8:U,10:U,13:U,16:M,21:U,27:U,39:U,45:U
13	20176568	20176647	38	11	1	0.225806	0	1:U,8:M,10:U,13:M,16:M,21:U,27:U,39:U,45:U
13	20176599	20176678	38	2	3	7	7	8:U,14:U,67:U,70:U,74:U
13	20176685	20176764	39	0	3	4	0.203393	19:U,48:U,58:U,60:U,68:U
13	20176686	20176766	39	5	3	1.13333	1.13333	18:U,47:U,57:U,59:U,67:M,78:U
13	20176687	20176766	39	6	1	0.0666667	0.0666667	17:U,46:U,56:M,58:U,66:M,77:M
13	20176687	20176766	39	2	4	0.266667	0.266667	17:U,46:U,56:U,58:U,66:M,77:M
13	20176687	20176766	39	14	1	0.0666667	0.0666667	17:U,46:U,56:M,58:M,66:M,77:M
13	20176694	20176766	39	13	1	4	4	10:U,39:M,49:M,51:M,59:M,70:M
13	20176718	20176797	39	15	1	0.5	0.5	15:M,25:U,27:U,35:U,46:U,70:M
13	20176687	20176766	39	11	34	2.26667	2.26667	17:U,46:U,56:U,58:U,66:U,77:M
13	20176686	20176797	39	1	65	16.4333	16.4333	18:U,47:U,57:U,59:U,67:U,78:U,102:U
13	20177013	20177093	40	0	15	12.5735	12.5735	23:M
13	20177014	20177093	40	1	3	1.67647	1.67647	22:U
13	20207074	20207154	41	0	5	10.7917	3.05666	6:M,63:U
13	20207074	20207154	41	1	16	8.16667	0	6:U,63:U
13	20207074	20207154	41	6	21	14	14	6:M,63:M
13	20207075	20207147	41	2	1	0.291667	0	5:U,62:M
13	20207127	20207206	41	15	2	1.3125	3.74873	10:U,73:U
13	20207127	20207206	41	13	7	4.59375	8.80729	10:M,73:M
13	20207127	20207207	41	7	6	8.53125	8.53125	10:M,73:U
13	20207193	20207272	41	21	1	0.205882	0.205882	7:U,17:M,44:U,61:U,77:M
13	20207193	20207272	41	20	4	0.823529	1.70108	7:U,17:M,44:M,61:M,77:M
13	20207192	20207325	41	4	17	10.6373	10.6373	8:U,18:U,45:U,62:U,78:U
13	20207192	20207272	41	8	13	5.97059	5.97059	8:U,18:U,45:U,62:U,78:M
13	20207193	20207272	41	22	1	0.205882	0.528046	7:M,17:U,44:M,61:M,77:M
13	20207193	20207272	41	19	3	0.617647	3.12721	7:M,17:U,44:U,61:M,77:U
13	20207193	20207272	41	18	3	0.617647	0.617647	7:M,17:M,44:M,61:M,77:U
13	20207193	20207272	41	17	1	0.205882	0.205882	7:M,17:M,44:M,61:U,77:M
13	20207193	20207272	41	12	2	0.411765	0.411765	7:M,17:M,44:U,61:U,77:M
13	20207193	20207272	41	3	11	2.26471	2.26471	7:M,17:M,44:M,61:M,77:M
13	20207245	20207325	41	23	4	7	7	9:M,25:M
13	20207245	20207325	41	24	3	5.83333	5.83333	9:M,25:U
13	20207487	20207566	42	0	1	1	1	27:U,33:U,50:U,57:U,65:U
13	20207613	20207685	43	0	1	1	1	10:U,26:U,34:U,42:U,65:U
13	20343167	20343246	44	0	1	1	1	36:M,59:M
13	20343306	20343385	45	0	4	4	4	9:M,11:M,21:U
13	20356229	20356309	46	0	26	34.5	34.5	8:U,16:U,41:U,50:U,54:U,57:U,61:U,71:U,74:U
13	20356347	20356427	47	0	26	23.2727	23.2727	7:U,10:U,23:U,33:U,46:U,55:U,59:U,62:U,67:U
13	20356348	20356427	47	2	1	0.727273	0.727273	6:U,9:U,22:U,32:U,45:U,54:U,58:M,61:U,66:U
13	20392452	20392531	48	0	37	18.6504	18.6504	4:M,22:M,30:M,37:M,39:M,60:M,76:M
13	20392452	20392531	48	2	3	1.5122	1.5122	4:M,22:M,30:M,37:U,39:U,60:U,76:U
13	20392452	20392524	48	1	2	1.00813	1.00813	4:M,22:M,30:M,37:U,39:U,60:M
13	20392452	20392531	48	13	2	1.00813	1.00813	4:M,22:M,30:U,37:M,39:M,60:M,76:M
13	20392452	20392532	48	6	3	63.0081	63.0081	4:M,22:U,30:U,37:M,39:M,60:U,76:U
13	20392452	20392524	48	15	1	0.504065	0.504065	4:M,22:M,30:U,37:U,39:U,60:M
13	20392452	20392531	48	7	1	0.504065	0.504065	4:M,22:M,30:M,37:U,39:M,60:U,76:U
13	20392452	20392531	48	8	2	62	62	4:M,22:M,30:M,37:M,39:U,60:M,76:U
13	20392452	20392531	48	4	1	0.504065	0.504065	4:M,22:M,30:M,37:M,39:M,60:M,76:U
