chr	start	end	cid	pid	abundance	methylpat	regions
1	11006913	11024414	1	1	0.0452138	932:M,956:M,976:M,1703:M,1722:M,1734:M,1949:M,2029:M,2039:M,2106:M,2212:M,2383:U,2554:U,2856:U,3190:U,3238:M,3261:U,3372:U,3404:U,3746:M,3820:M,3827:M,4397:U,4432:M,4472:U,4622:U,4668:M,4732:U,4754:U,6335:U,6652:U,6660:U,6677:U,6728:U,7260:U,7282:U,7344:U,7459:M,7480:M,7531:U,7535:U,7544:U,7601:U,7670:M,7678:M,7691:M,7697:M,7794:M,7823:U,7831:U,7881:M,7900:M,7981:U,7993:U,8056:M,8113:M,8118:M,8126:M,8129:M,8131:M,8136:M,8144:M,8151:M,8154:M,8165:M,8168:M,8171:M,8180:M,8188:M,8207:M,8213:M,8221:M,8252:U,8255:U,8279:U,9404:U,9412:U,9424:U,9782:U,10221:U,10256:M,10296:M,10446:U,10525:M,10556:U,10667:U,11285:M,12313:M,12769:M,12813:M,12941:U,13189:M,13792:U,13805:U,14634:U,15019:U,16512:M,17092:U,17183:U,17415:M	0,157,171,286,289,291,313,317,336,348,428,444,481,499,554,572,581,603,667,668,692,772,781,786,798,822,842,1126,1151,1191,1209,1286,1306,1325,1344,1349,1354,1372,1379,1381,1398,1405,1419,1422,1427,1436,1439,1465,1490,1495,1508,1700,1718,1760,1777,1850,1855,1864,1871,1928,1943,2234,2246,2354,2376,2689,2706,2751,2770,3137,3155,3178
1	11006913	11024414	1	2	0.0419466	932:U,956:M,976:M,1703:M,1722:M,1734:M,1949:U,2029:M,2039:M,2106:M,2212:M,2383:U,2554:U,2856:U,3190:U,3238:M,3261:U,3372:U,3404:U,3746:M,3820:M,3827:M,4397:U,4432:M,4472:U,4622:U,4668:M,4732:U,4754:U,6335:U,6652:U,6660:U,6677:U,6728:U,7260:U,7282:U,7344:U,7459:M,7480:M,7531:U,7535:U,7544:U,7601:U,7670:U,7678:U,7691:U,7697:U,7794:M,7823:U,7831:U,7881:M,7900:M,7981:U,7993:U,8056:M,8113:M,8118:M,8126:M,8129:M,8131:M,8136:M,8144:M,8151:M,8154:M,8165:M,8168:M,8171:M,8180:M,8188:M,8207:M,8213:M,8221:M,8252:U,8255:U,8279:M,9404:U,9412:U,9424:U,9782:U,10221:U,10256:M,10296:M,10446:U,10525:M,10556:U,10667:U,11285:M,12313:M,12769:M,12813:M,12941:M,13189:M,13792:U,13805:U,14634:U,15019:U,16512:M,17092:U,17183:U,17415:M	0,163,171,286,289,291,313,317,337,348,428,444,481,499,554,572,581,603,667,668,692,772,781,786,798,822,842,1126,1151,1191,1209,1286,1306,1325,1344,1349,1354,1380,1399,1405,1419,1422,1427,1436,1439,1465,1490,1500,1508,1700,1718,1760,1777,1850,1855,1864,1871,1928,1943,2234,2246,2355,2376,2689,2706,2751,2770,3137,3155,3178
1	11006913	11024418	1	3	0.0324585	932:M,956:M,976:M,1703:M,1722:M,1734:M,1949:M,2029:M,2039:M,2106:M,2212:M,2383:U,2554:U,2856:U,3190:U,3238:U,3261:U,3372:M,3404:U,3746:M,3820:M,3827:M,4397:U,4432:M,4472:U,4622:U,4668:U,4732:U,4754:U,6335:M,6652:M,6660:M,6677:M,6728:U,7260:U,7282:U,7344:U,7459:U,7480:U,7531:U,7535:U,7544:U,7601:U,7670:M,7678:M,7691:M,7697:M,7794:U,7823:M,7831:M,7881:M,7900:M,7981:U,7993:U,8056:M,8113:M,8118:M,8126:M,8129:M,8131:M,8136:M,8144:M,8151:M,8154:M,8165:M,8168:M,8171:M,8180:M,8188:M,8207:M,8213:M,8221:M,8252:U,8255:U,8279:U,9404:M,9412:M,9424:M,9782:U,10221:U,10256:U,10296:M,10446:U,10525:M,10556:U,10667:M,11285:M,12313:M,12769:M,12813:M,12941:U,13189:M,13792:U,13805:U,14634:U,15019:U,16512:M,17092:U,17183:U,17415:U	0,157,171,286,289,291,313,317,336,348,428,444,481,499,555,572,580,603,667,668,692,772,781,786,798,821,842,1125,1151,1194,1209,1286,1306,1322,1328,1349,1354,1372,1379,1381,1398,1407,1413,1427,1436,1439,1465,1490,1495,1508,1702,1718,1760,1777,1851,1864,1871,1932,1943,2234,2246,2354,2376,2689,2706,2751,2770,3137,3155,3179
1	11006913	11024418	1	4	0.025064	932:U,956:M,976:M,1703:U,1722:U,1734:U,1949:U,2029:M,2039:M,2106:M,2212:M,2383:U,2554:U,2856:M,3190:U,3238:M,3261:U,3372:U,3404:U,3746:M,3820:M,3827:M,4397:M,4432:M,4472:M,4622:U,4668:M,4732:U,4754:U,6335:U,6652:M,6660:M,6677:M,6728:U,7260:U,7282:U,7344:U,7459:M,7480:M,7531:U,7535:U,7544:U,7601:U,7670:M,7678:M,7691:U,7697:U,7794:M,7823:U,7831:U,7881:M,7900:M,7981:U,7993:U,8056:M,8113:U,8118:U,8126:U,8129:U,8131:U,8136:U,8144:U,8151:U,8154:U,8165:U,8168:U,8171:U,8180:U,8188:U,8207:U,8213:U,8221:U,8252:U,8255:U,8279:M,9404:U,9412:U,9424:U,9782:U,10221:U,10256:M,10296:M,10446:U,10525:M,10556:U,10667:M,11285:M,12313:U,12769:M,12813:M,12941:M,13189:M,13792:U,13805:U,14634:M,15019:M,16512:M,17092:U,17183:M,17415:U	0,163,171,288,293,312,314,317,337,348,428,444,482,499,554,572,581,603,667,668,692,771,792,798,822,842,1126,1151,1194,1209,1286,1306,1325,1344,1349,1354,1372,1399,1405,1419,1422,1427,1436,1439,1469,1474,1479,1500,1508,1700,1718,1760,1777,1850,1855,1864,1871,1932,1943,2233,2246,2355,2376,2692,2706,2754,2770,3138,3155,3179
1	11006913	11024414	1	5	0.0164996	932:M,956:M,976:M,1703:M,1722:M,1734:M,1949:U,2029:M,2039:M,2106:M,2212:M,2383:U,2554:M,2856:U,3190:U,3238:M,3261:U,3372:U,3404:U,3746:M,3820:U,3827:U,4397:U,4432:M,4472:U,4622:U,4668:U,4732:U,4754:U,6335:M,6652:U,6660:U,6677:U,6728:U,7260:U,7282:M,7344:U,7459:U,7480:U,7531:U,7535:U,7544:U,7601:M,7670:M,7678:M,7691:M,7697:M,7794:U,7823:M,7831:M,7881:U,7900:U,7981:U,7993:U,8056:M,8113:U,8118:U,8126:U,8129:U,8131:U,8136:U,8144:U,8151:U,8154:U,8165:U,8168:U,8171:U,8180:U,8188:M,8207:M,8213:M,8221:M,8252:U,8255:U,8279:U,9404:M,9412:M,9424:M,9782:M,10221:U,10256:M,10296:M,10446:U,10525:M,10556:U,10667:U,11285:M,12313:M,12769:M,12813:M,12941:M,13189:M,13792:U,13805:U,14634:U,15019:U,16512:M,17092:U,17183:U,17415:M	0,157,171,286,289,291,313,317,337,348,427,444,481,499,554,572,581,603,669,690,692,772,781,786,798,821,842,1125,1151,1191,1209,1288,1306,1322,1328,1349,1355,1381,1398,1407,1413,1420,1429,1439,1469,1474,1495,1508,1702,1718,1761,1777,1850,1855,1864,1871,1928,1943,2234,2246,2355,2376,2689,2706,2751,2770,3137,3155,3178
1	11006913	11024418	1	6	0.0085459	932:U,956:M,976:M,1703:U,1722:U,1734:U,1949:M,2029:M,2039:M,2106:M,2212:M,2383:U,2554:U,2856:M,3190:U,3238:U,3261:U,3372:M,3404:U,3746:M,3820:M,3827:M,4397:U,4432:M,4472:U,4622:U,4668:U,4732:U,4754:U,6335:U,6652:U,6660:U,6677:U,6728:U,7260:U,7282:M,7344:U,7459:U,7480:U,7531:U,7535:U,7544:U,7601:M,7670:U,7678:U,7691:M,7697:M,7794:U,7823:M,7831:M,7881:M,7900:M,7981:U,7993:U,8056:M,8113:M,8118:M,8126:M,8129:M,8131:M,8136:M,8144:M,8151:M,8154:M,8165:M,8168:M,8171:M,8180:M,8188:M,8207:M,8213:M,8221:M,8252:U,8255:U,8279:M,9404:M,9412:M,9424:M,9782:M,10221:U,10256:M,10296:M,10446:U,10525:M,10556:U,10667:M,11285:M,12313:M,12769:M,12813:M,12941:M,13189:M,13792:U,13805:U,14634:M,15019:M,16512:M,17092:U,17183:M,17415:U	0,163,171,288,293,312,314,317,336,348,428,444,482,499,555,572,580,603,667,668,692,772,781,786,798,821,842,1126,1151,1191,1209,1288,1306,1322,1328,1349,1355,1375,1398,1407,1413,1427,1436,1439,1465,1490,1500,1508,1702,1718,1761,1777,1850,1855,1864,1871,1932,1943,2234,2246,2355,2376,2692,2706,2754,2770,3138,3155,3179
1	11006913	11024414	1	7	0.00403652	932:M,956:M,976:M,1703:U,1722:U,1734:U,1949:M,2029:M,2039:M,2106:M,2212:M,2383:U,2554:U,2856:U,3190:U,3238:U,3261:U,3372:M,3404:U,3746:M,3820:M,3827:M,4397:M,4432:M,4472:M,4622:U,4668:M,4732:U,4754:U,6335:M,6652:M,6660:M,6677:M,6728:U,7260:U,7282:U,7344:U,7459:M,7480:M,7531:U,7535:U,7544:U,7601:M,7670:M,7678:M,7691:M,7697:M,7794:U,7823:M,7831:M,7881:U,7900:U,7981:U,7993:U,8056:M,8113:U,8118:U,8126:U,8129:U,8131:U,8136:U,8144:U,8151:U,8154:U,8165:U,8168:U,8171:U,8180:U,8188:U,8207:U,8213:U,8221:U,8252:U,8255:U,8279:M,9404:U,9412:U,9424:U,9782:U,10221:U,10256:U,10296:M,10446:U,10525:M,10556:U,10667:U,11285:M,12313:U,12769:M,12813:M,12941:M,13189:M,13792:U,13805:U,14634:M,15019:U,16512:M,17092:U,17183:U,17415:M	0,157,171,288,293,312,314,317,336,348,428,444,481,499,555,572,580,603,667,668,692,771,792,798,822,842,1125,1151,1194,1209,1286,1306,1325,1344,1349,1355,1381,1398,1407,1413,1420,1429,1439,1469,1474,1479,1500,1508,1700,1718,1760,1777,1851,1864,1871,1928,1943,2233,2246,2355,2376,2692,2706,2751,2770,3137,3155,3178
1	11006913	11024418	1	8	0.00358932	932:U,956:M,976:M,1703:M,1722:M,1734:U,1949:M,2029:M,2039:M,2106:M,2212:M,2383:U,2554:U,2856:U,3190:U,3238:M,3261:U,3372:M,3404:U,3746:M,3820:M,3827:M,4397:U,4432:M,4472:U,4622:U,4668:M,4732:U,4754:U,6335:M,6652:M,6660:M,6677:M,6728:U,7260:U,7282:M,7344:U,7459:M,7480:M,7531:U,7535:U,7544:U,7601:U,7670:M,7678:M,7691:U,7697:U,7794:M,7823:U,7831:U,7881:U,7900:U,7981:U,7993:U,8056:M,8113:U,8118:U,8126:U,8129:U,8131:U,8136:U,8144:U,8151:U,8154:U,8165:M,8168:M,8171:M,8180:M,8188:M,8207:M,8213:M,8221:M,8252:U,8255:U,8279:M,9404:M,9412:M,9424:M,9782:M,10221:U,10256:M,10296:M,10446:U,10525:M,10556:U,10667:M,11285:M,12313:M,12769:M,12813:M,12941:M,13189:M,13792:U,13805:U,14634:M,15019:M,16512:M,17092:U,17183:U,17415:U	0,163,171,286,289,314,317,336,348,428,444,481,499,554,572,580,603,667,668,692,772,781,786,798,822,842,1125,1151,1194,1209,1288,1306,1325,1344,1349,1354,1372,1399,1405,1429,1439,1469,1490,1500,1508,1702,1718,1761,1777,1850,1855,1864,1871,1932,1943,2234,2246,2355,2376,2692,2706,2754,2770,3137,3155,3179
1	11006913	11024414	1	9	0.0016687	932:M,956:M,976:M,1703:U,1722:U,1734:U,1949:U,2029:M,2039:M,2106:M,2212:M,2383:U,2554:U,2856:M,3190:U,3238:U,3261:U,3372:U,3404:U,3746:M,3820:M,3827:U,4397:M,4432:M,4472:M,4622:U,4668:U,4732:U,4754:U,6335:U,6652:U,6660:U,6677:U,6728:U,7260:U,7282:U,7344:U,7459:U,7480:U,7531:U,7535:U,7544:U,7601:M,7670:U,7678:U,7691:M,7697:M,7794:U,7823:M,7831:M,7881:U,7900:U,7981:U,7993:U,8056:M,8113:M,8118:M,8126:M,8129:M,8131:M,8136:M,8144:M,8151:M,8154:M,8165:M,8168:M,8171:M,8180:M,8188:M,8207:M,8213:M,8221:M,8252:U,8255:U,8279:M,9404:M,9412:M,9424:M,9782:U,10221:U,10256:M,10296:M,10446:U,10525:M,10556:U,10667:M,11285:M,12313:M,12769:M,12813:M,12941:M,13189:M,13792:U,13805:U,14634:M,15019:U,16512:M,17092:U,17183:M,17415:M	0,157,171,288,293,312,314,317,337,348,428,444,482,499,555,572,581,603,667,690,692,771,792,798,821,842,1126,1151,1191,1209,1286,1306,1322,1328,1349,1355,1375,1398,1407,1413,1420,1429,1439,1465,1490,1500,1508,1702,1718,1760,1777,1850,1855,1864,1871,1932,1943,2234,2246,2355,2376,2692,2706,2751,2770,3138,3155,3178
1	11006913	11024418	1	10	0.000761546	932:U,956:M,976:M,1703:M,1722:M,1734:M,1949:U,2029:M,2039:M,2106:M,2212:M,2383:U,2554:M,2856:M,3190:U,3238:M,3261:U,3372:U,3404:U,3746:M,3820:M,3827:M,4397:U,4432:M,4472:U,4622:U,4668:M,4732:U,4754:U,6335:M,6652:M,6660:M,6677:M,6728:U,7260:U,7282:U,7344:U,7459:U,7480:U,7531:U,7535:U,7544:U,7601:U,7670:M,7678:M,7691:U,7697:U,7794:M,7823:U,7831:U,7881:U,7900:U,7981:U,7993:U,8056:M,8113:M,8118:M,8126:M,8129:M,8131:M,8136:M,8144:M,8151:M,8154:M,8165:M,8168:M,8171:M,8180:M,8188:M,8207:M,8213:M,8221:M,8252:U,8255:U,8279:M,9404:U,9412:U,9424:U,9782:M,10221:U,10256:U,10296:M,10446:U,10525:M,10556:U,10667:U,11285:M,12313:U,12769:M,12813:M,12941:M,13189:M,13792:U,13805:U,14634:U,15019:U,16512:M,17092:U,17183:M,17415:U	0,163,171,286,289,291,313,317,337,348,427,444,482,499,554,572,581,603,667,668,692,772,781,786,798,822,842,1125,1151,1194,1209,1286,1306,1322,1328,1349,1354,1372,1399,1405,1429,1439,1465,1490,1500,1508,1700,1718,1761,1777,1851,1864,1871,1928,1943,2233,2246,2355,2376,2689,2706,2751,2770,3138,3155,3179
