chr	start	end	cid	rid	raw_coverage	norm_coverage	exp_coverage	methylpat
1	757121	757202	1	0	8	5.9	5.9	8:M,10:M,11:M,14:M,19:M,22:M,30:M,42:M,46:M,48:M,53:M,65:U,71:U,73:U,81:U
1	757121	757216	1	1	25	22.9571	21.3153	8:U,10:U,11:U,14:U,19:U,22:U,30:U,42:U,46:U,48:U,53:U,65:U,71:U,73:U,81:U
1	757121	757216	1	2	15	12.6857	12.6857	8:U,10:U,11:U,14:U,19:U,22:U,30:U,42:M,46:M,48:M,53:M,65:U,71:U,73:U,81:U
1	757152	757224	1	47	12	6.13333	6.13333	11:M,15:M,17:M,22:M,34:U,40:U,42:U,50:U,65:M,67:M
1	757181	757252	1	84	2	2.5	2.5	5:U,11:U,13:U,21:U,36:U,38:U,44:U,50:U,56:U,62:U
1	757148	757218	1	39	3	2	2	3:U,15:U,19:U,21:U,26:U,38:U,44:U,46:U,54:U,69:M
1	757150	757222	1	43	3	2.83333	2.83333	1:U,13:U,17:U,19:U,24:U,36:U,42:U,44:U,52:U,67:U,69:U
1	757148	757218	1	40	3	2	2	3:U,15:M,19:M,21:M,26:M,38:U,44:U,46:U,54:U,69:M
1	757156	757229	1	54	9	5.8	5.8	7:M,11:M,13:M,18:M,30:U,36:U,38:U,46:U,61:M,63:M,69:M
1	757220	757289	1	136	1	1	1	5:U,11:U,17:U,23:U,33:U,41:U,46:U,50:U,56:U,61:U,64:U
1	757189	757260	1	93	3	3	3	3:U,5:U,13:U,28:U,30:U,36:U,42:U,48:U,54:U,64:U
1	757244	757313	1	165	1	1.5	1.32822	9:M,17:M,22:M,26:M,32:M,37:M,40:M,46:M,53:M
1	757151	757224	1	45	3	2.1	3.33333	0:U,12:U,16:U,18:U,23:U,35:U,41:U,43:U,51:U,66:M,68:M
1	757218	757287	1	133	1	1	0.113409	1:U,7:U,13:U,19:U,25:U,35:U,43:U,48:U,52:U,58:U,63:U,66:U
