pos	unmethyl	 methyl
757121	20	1
757122	20	1
757129	20	1
757132	20	1
757136	20	1
757139	20	1
757140	20	1
757141	20	1
757147	20	1
757152	20	1
757154	20	1
757155	20	1
757159	20	1
757166	20	1
757169	20	1
757172	20	1
757173	20	1
757183	20	1
757184	20	1
757191	20	1
757193	20	1
757194	20	1
757205	20	1
757206	20	1
757218	21	0
757219	21	0
757224	21	0
757227	21	0
757231	21	0
757236	21	0
757244	21	0
757245	21	0
757248	21	0
757249	21	0
757251	21	0
757253	21	0
757254	21	0
757261	21	0
757263	21	0
757267	21	0
757268	21	0
757269	21	0
757271	21	0
757272	21	0
757275	21	0
757276	21	0
757281	21	0
757282	21	0
757283	21	0
757292	21	0
757293	21	0
757294	21	0
757298	21	0
757301	21	0
757302	21	0
757306	21	0
757308	21	0
757309	21	0
757313	21	0
757316	21	0
757317	21	0
757328	1	20
757329	1	20
757339	1	20
757345	1	20
757346	1	20
757347	1	20
757348	1	20
