chr	start	end	cid	rid	raw_coverage	norm_coverage	exp_coverage	methylpat
13	19218085	19218166	1	0	55	80	77.4691	5:U,8:U,22:U
13	19218085	19218165	1	1	23	6	13	5:M,8:M,22:M
13	19218085	19218165	1	2	9	2	0	5:U,8:U,22:M
13	19218085	19218165	1	3	16	11.5	0	5:M,8:M,22:U
13	19218085	19218165	1	4	6	5	0	5:U,8:M,22:M
13	19218085	19218157	1	5	1	0.5	4.55556	5:M,8:U,22:U
13	19218085	19218165	1	6	5	3	12.5	5:U,8:M,22:U
13	19239922	19240002	2	0	3	1.46731	1.46731	13:U,71:U
13	19239922	19240002	2	1	3	0.834615	0.834615	13:U,71:M
13	19239922	19240009	2	2	41	8.50769	8.50769	13:M,71:M,83:M
13	19239923	19240002	2	3	10	0.673077	0.673077	12:M,70:U
13	19300926	19300998	3	0	1	1	1	17:M,40:M,52:M,67:M
13	19588404	19588483	4	0	1	1	0	*
13	19589682	19589761	5	0	1	1	0	*
13	19631347	19631426	6	0	1	1	1	1:M,25:M,31:M,37:M
13	19631610	19631697	7	0	46	52	0	*
13	19631728	19631808	8	0	43	47.0213	47.0213	55:M,59:M,63:M
13	19631728	19631807	8	3	1	0.553191	0.553193	55:M,59:U,63:M
13	19631728	19631807	8	13	3	1.65957	1.65957	55:U,59:U,63:U
13	19631728	19631807	8	2	2	1.10638	1.10638	55:U,59:M,63:M
13	19633203	19633282	9	0	2	2	2	32:U,42:U,71:M,76:M
13	19633203	19633282	9	3	1	1	1	32:M,42:M,71:M,76:M
13	19633203	19633282	9	13	1	1	1	32:M,42:U,71:M,76:M
13	19633557	19633636	10	0	1	1	1	8:M,79:U
13	19633557	19633636	10	3	1	1	1	8:M,79:M
13	19648309	19648445	11	0	3	4	4	15:M,32:M,55:M
13	19648507	19648586	12	0	1	1	1	3:M,53:M
13	19648625	19648705	13	0	2	2.25	2.25	7:M,67:M
13	19658167	19658246	14	0	1	1	0	*
13	19687673	19687745	15	0	1	1	0	*
13	19687792	19687871	16	0	1	1	1	25:M,41:M,63:U
13	19728251	19728372	17	0	20	8.5	8.5	15:M,66:M
13	19728286	19728367	17	13	12	2.5	2.5	31:U
13	19728404	19728498	18	0	6	6.66667	6.66667	6:M,20:M
13	19728404	19728483	18	13	2	1.66667	1.66667	6:M,20:U
13	19745961	19746040	19	0	1	1	1	2:M
13	19746058	19746138	20	0	5	4.5	0	*
13	19746140	19746220	21	0	76	112.5	0	*
13	19746258	19746338	22	0	30	44.3986	49.6952	4:U,79:U
13	19746258	19746337	22	1	22	12.7875	18.0188	4:M,79:M
13	19746258	19746338	22	13	23	25.3514	20.0548	4:M,79:U
13	19746258	19746337	22	15	9	5.23125	0	4:U,79:M
13	19747276	19747356	23	0	16	13.5	0	*
13	19747394	19747474	24	0	11	11.1974	11.1974	34:M,46:M
13	19747394	19747473	24	13	1	0.605263	0.605264	34:M,46:U
13	19747395	19747474	24	1	2	5.75	5.75	33:U,45:U
13	19872760	19872839	25	0	14	14	14	14:M
13	19872760	19872832	25	13	2	2	2	14:U
