pos	unmethyl	 methyl
757123	0.0499999	0.95
757124	0.0499999	0.95
757125	0.0499999	0.95
757126	0.0499999	0.95
757127	0.0499999	0.95
757128	0.0499999	0.95
757140	0.25	0.75
757141	0.25	0.75
757142	0.25	0.75
757144	0.25	0.75
757147	0.25	0.75
757150	0.25	0.75
757152	0.25	0.75
757155	0.25	0.75
757157	0.25	0.75
757164	0.25	0.75
757167	0.25	0.75
757170	0.25	0.75
757172	0.25	0.75
757184	0.0499999	0.95
757189	0.0499999	0.95
757190	0.0499999	0.95
757192	0.0499999	0.95
757195	0.0499999	0.95
757203	0.0499999	0.95
757204	0.0499999	0.95
757205	0.0499999	0.95
757206	0.0499999	0.95
757209	0.0499999	0.95
757210	0.0499999	0.95
757213	0.0499999	0.95
757221	0.0499999	0.95
757224	0.0499999	0.95
757225	0.0499999	0.95
757232	0.0499999	0.95
757234	0.0499999	0.95
757236	0.0499999	0.95
757241	0.0499999	0.95
757242	0.0499999	0.95
757247	0.0499999	0.95
757248	0.0499999	0.95
757259	0.6	0.4
757262	0.6	0.4
757264	0.6	0.4
757265	0.6	0.4
757266	0.6	0.4
757270	0.6	0.4
757274	0.6	0.4
757278	0.6	0.4
757286	0.6	0.4
757288	0.6	0.4
757293	0.6	0.4
757296	0.6	0.4
757313	0.35	0.65
757314	0.35	0.65
757319	0.35	0.65
757322	0.35	0.65
757324	0.35	0.65
757325	0.35	0.65
757326	0.35	0.65
757328	0.35	0.65
757333	0.35	0.65
757335	0.35	0.65
757341	0.35	0.65
757342	0.35	0.65
757343	0.35	0.65
757345	0.35	0.65
