chr	start	end	cid	rid	raw_coverage	norm_coverage	exp_coverage	methylpat
1	757125	757194	1	0	2	1	0.21798	8:M,11:M,20:M,27:M,29:M,33:M,35:M,37:M,41:M,43:M,45:M,48:M,49:M,50:M,52:M,59:M,60:M,61:M,66:M
1	757151	757257	1	8	3	3	1.41712	1:U,3:U,7:U,9:U,11:U,15:U,17:U,19:U,22:U,23:U,24:U,26:U,33:U,34:U,35:U,40:U,46:U,54:U,57:U,58:U,59:U,60:U,61:U,62:U,63:U,67:U,76:U,79:U,81:U,82:U,86:U,90:U,92:U,93:U,97:U,102:U,105:U,106:U
1	757452	757521	1	101	1	0.5	0.429231	5:M,6:M,9:M,10:M,22:M,25:M,27:M,33:M,34:M,35:M,42:M,43:M,44:M,47:M,49:M,52:M,63:U,64:U,68:U,69:U
1	757194	757263	1	19	1	1	0.527299	3:U,11:U,14:U,15:U,16:U,17:U,18:U,19:U,20:U,24:U,33:U,36:U,38:U,39:U,43:U,47:U,49:U,50:U,54:U,59:U,62:U,63:U,64:U
1	757128	757272	1	1	19	19	5.81281	5:M,8:M,17:M,24:M,26:M,30:M,32:M,34:M,38:M,40:M,42:M,45:M,46:M,47:M,49:M,56:M,57:M,58:M,63:M,69:M,77:M,80:M,81:M,82:M,83:M,84:M,85:M,86:M,90:M,99:M,102:M,104:M,105:M,109:M,113:M,115:M,116:M,120:M,125:M,128:M,129:M,130:M,137:M,140:M
1	757480	757549	1	107	2	1	0.397722	5:M,6:M,7:M,14:M,15:M,16:M,19:M,21:M,24:M,35:U,36:U,40:U,41:U,43:U,46:U,47:U,52:U,54:U,55:U,60:U
1	757261	757351	1	45	11	8.4	1.16684	4:M,7:M,13:M,14:M,17:M,21:M,28:M,33:M,36:M,43:M,44:M,45:M,52:M,54:M,56:M,58:M,59:M,67:M,72:M,73:M,76:M,77:M,80:M,84:M,85:M
1	757210	757286	1	26	4	2.83333	0.889818	0:U,1:U,2:U,3:U,4:U,8:U,17:U,20:U,22:U,23:U,27:U,31:U,33:U,34:U,38:U,43:U,46:U,47:U,48:U,55:U,58:U,64:U,65:U,68:U,72:U
1	757208	757300	1	24	9	6.33333	2.16182	0:M,1:M,2:M,3:M,4:M,5:M,6:M,10:M,19:M,22:M,24:M,25:M,29:M,33:M,35:M,36:M,40:M,45:M,48:M,49:M,50:M,57:M,60:M,66:M,67:M,70:M,74:M,81:M,86:M,89:M
1	757269	757350	1	49	4	2.8	0.385451	5:U,6:U,9:U,13:U,20:U,25:U,28:U,35:U,36:U,37:U,44:U,46:U,48:U,50:U,51:U,59:U,64:U,65:U,68:U,69:U,72:U,76:U,77:U
1	757517	757606	1	118	2	1.66667	0.141529	3:U,4:U,6:U,9:U,10:U,15:U,17:U,18:U,23:U,35:U,37:U,39:U,41:U,48:U,49:U,57:U,59:U,63:U,65:U,66:U,70:U,74:U,76:U
1	757487	757595	1	110	8	7	1.95435	0:M,7:M,8:M,9:M,12:M,14:M,17:M,28:U,29:U,33:U,34:U,36:U,39:U,40:U,45:U,47:U,48:U,53:U,65:M,67:M,69:M,71:M,78:M,79:M,87:M,89:M,93:M,95:M,96:M,100:M,104:M,106:M
1	757283	757361	1	58	4	3.66667	0.848614	6:M,11:M,14:M,21:M,22:M,23:M,30:M,32:M,34:M,36:M,37:M,45:M,50:M,51:M,54:M,55:M,58:M,62:M,63:M,69:M
1	757347	757416	1	78	1	1	1.20476	5:U,16:M,18:M,19:M,20:M,21:M,26:M,32:M,33:M,39:M,42:M,43:M,46:M,49:M,51:M,54:M,56:M,59:M,60:M,62:M,65:M,66:M
1	757349	757418	1	80	1	0.666667	0.0756807	3:U,14:U,16:U,17:U,18:U,19:U,24:U,30:U,31:U,37:U,40:U,41:U,44:U,47:U,49:U,52:U,54:U,57:U,58:U,60:U,63:U,64:U,69:U
1	757237	757314	1	37	3	2.66667	1.58238	0:U,4:U,6:U,7:U,11:U,16:U,19:U,20:U,21:U,28:U,31:U,37:U,38:U,41:U,45:U,52:U,57:U,60:U,67:U,68:U,69:U,76:U
1	757235	757312	1	35	3	2.66667	1.82066	2:M,6:M,8:M,9:M,13:M,18:M,21:M,22:M,23:M,30:M,33:M,39:M,40:M,43:M,47:M,54:M,59:M,62:M,69:M,70:M,71:M
1	757298	757367	1	64	1	1	0.192063	6:U,7:U,8:U,15:U,17:U,19:U,21:U,22:U,30:U,35:U,36:U,39:U,40:U,43:U,47:U,48:U,54:U,65:M,67:M,68:M,69:M
1	757292	757361	1	62	1	0.666667	0.108524	2:U,5:U,12:U,13:U,14:U,21:U,23:U,25:U,27:U,28:U,36:U,41:U,42:U,45:U,46:U,49:U,53:U,54:U,60:U
1	757349	757418	1	79	1	0.666667	0.117886	3:M,14:U,16:U,17:U,18:U,19:U,24:U,30:U,31:U,37:U,40:U,41:U,44:U,47:U,49:U,52:U,54:U,57:U,58:U,60:U,63:U,64:U,69:U
1	757546	757620	1	125	2	3	2.52729	6:U,8:U,10:U,12:U,19:U,20:U,28:U,30:U,34:U,36:U,37:U,41:U,45:U,47:U,61:U,64:U,67:U,71:U,74:U
1	757550	757619	1	126	1	1	3.32391	2:M,4:M,6:M,8:M,15:M,16:M,24:M,26:M,30:M,32:M,33:M,37:M,41:M,43:M,57:M,60:M,63:M,67:M
1	757299	757371	1	65	3	2	2.98261	5:M,6:M,7:M,14:M,16:M,18:M,20:M,21:M,29:M,34:M,35:M,38:M,39:M,42:M,46:M,47:M,53:M,64:U,66:U,67:U,68:U,69:U
1	757354	757423	1	83	1	0.666667	0	9:M,11:M,12:M,13:M,14:M,19:M,25:M,26:M,32:M,35:M,36:M,39:M,42:M,44:M,47:M,49:M,52:M,53:M,55:M,58:M,59:M,64:M,67:M
1	757416	757550	1	96	3	2.33333	3.03112	2:U,5:U,13:U,14:U,17:U,23:U,24:U,26:U,28:U,32:U,33:U,34:U,41:U,42:U,45:U,46:U,58:U,61:U,63:U,69:U,70:U,71:U,78:U,79:U,80:U,83:U,85:U,88:U,99:M,100:M,104:M,105:M,107:M,110:M,111:M,116:M,118:M,119:M,124:M
1	757416	757513	1	95	4	3.66667	1.28581	2:U,5:U,13:U,14:U,17:U,23:U,24:U,26:U,28:U,32:U,33:U,34:U,41:U,42:U,45:U,46:U,58:M,61:M,63:M,69:M,70:M,71:M,78:M,79:M,80:M,83:M,85:M,88:M
1	757353	757457	1	81	11	9.33333	2.51637	10:U,12:U,13:U,14:U,15:U,20:U,26:U,27:U,33:U,36:U,37:U,40:U,43:U,45:U,48:U,50:U,53:U,54:U,56:U,59:U,60:U,65:U,68:U,76:U,77:U,80:U,86:U,87:U,89:U,91:U,95:U,96:U,97:U,104:U
1	757257	757326	1	44	1	1	0.100552	0:U,1:U,8:U,11:U,17:U,18:U,21:U,25:U,32:U,37:U,40:U,47:U,48:U,49:U,56:U,58:U,60:U,62:U,63:U
1	757314	757388	1	69	2	2	0.235772	1:M,3:M,5:M,6:M,14:M,19:M,20:M,23:M,24:M,27:M,31:M,32:M,38:M,49:U,51:U,52:U,53:U,54:U,59:U,65:U,66:U,72:U
1	757247	757325	1	41	4	3	0.742537	1:M,6:M,9:M,10:M,11:M,18:M,21:M,27:M,28:M,31:M,35:M,42:M,47:M,50:M,57:M,58:M,59:M,66:M,68:M,70:M,72:M,73:M
1	757307	757403	1	67	3	3	0.794647	6:U,8:U,10:U,12:U,13:U,21:U,26:U,27:U,30:U,31:U,34:U,38:U,39:U,45:U,56:U,58:U,59:U,60:U,61:U,66:U,72:U,73:U,79:U,82:U,83:U,86:U,89:U,91:U,94:U,96:U
1	757309	757378	1	68	1	1	0.663492	4:U,6:U,8:U,10:U,11:U,19:U,24:U,25:U,28:U,29:U,32:U,36:U,37:U,43:U,54:M,56:M,57:M,58:M,59:M,64:M
1	757297	757366	1	63	1	1	0.0142857	0:U,7:U,8:U,9:U,16:U,18:U,20:U,22:U,23:U,31:U,36:U,37:U,40:U,41:U,44:U,48:U,49:U,55:U,66:M,68:M,69:M
1	757369	757438	1	90	1	0.666667	2.7835	4:M,10:M,11:M,17:M,20:M,21:M,24:M,27:M,29:M,32:M,34:M,37:M,38:M,40:M,43:M,44:M,49:M,52:M,60:M,61:M,64:M
1	757485	757554	1	109	1	1	0.25111	0:U,1:U,2:U,9:U,10:U,11:U,14:U,16:U,19:U,30:M,31:M,35:M,36:M,38:M,41:M,42:M,47:M,49:M,50:M,55:M,67:U,69:U
1	757449	757518	1	100	2	1	0.205721	0:U,1:U,8:U,9:U,12:U,13:U,25:M,28:M,30:M,36:M,37:M,38:M,45:M,46:M,47:M,50:M,52:M,55:M,66:U,67:U
1	757452	757565	1	102	4	3	0.910402	5:U,6:U,9:U,10:U,22:M,25:M,27:M,33:M,34:M,35:M,42:M,43:M,44:M,47:M,49:M,52:M,63:M,64:M,68:M,69:M,71:M,74:M,75:M,80:M,82:M,83:M,88:M,100:U,102:U,104:U,106:U,113:U
1	757405	757474	1	93	1	0.666667	0.312627	1:U,2:U,4:U,7:U,8:U,13:U,16:U,24:U,25:U,28:U,34:U,35:U,37:U,39:U,43:U,44:U,45:U,52:U,53:U,56:U,57:U,69:U
1	757405	757474	1	94	1	0.666667	0.219682	1:U,2:U,4:U,7:U,8:U,13:U,16:U,24:U,25:U,28:U,34:U,35:U,37:U,39:U,43:U,44:U,45:U,52:U,53:U,56:U,57:U,69:M
1	757322	757391	1	72	1	1	0.265244	6:M,11:M,12:M,15:M,16:M,19:M,23:M,24:M,30:M,41:U,43:U,44:U,45:U,46:U,51:U,57:U,58:U,64:U,67:U,68:U
1	757263	757332	1	46	1	1	0.100552	2:U,5:U,11:U,12:U,15:U,19:U,26:U,31:U,34:U,41:U,42:U,43:U,50:U,52:U,54:U,56:U,57:U,65:U
1	757506	757576	1	115	3	2	0.316986	9:M,10:M,14:M,15:M,17:M,20:M,21:M,26:M,28:M,29:M,34:M,46:U,48:U,50:U,52:U,59:U,60:U,68:U,70:U
1	757517	757586	1	117	1	0.666667	0.37462	3:M,4:M,6:M,9:M,10:M,15:M,17:M,18:M,23:M,35:U,37:U,39:U,41:U,48:U,49:U,57:U,59:U,63:U,65:U,66:U
1	757459	757531	1	103	2	1.66667	0.432014	2:U,3:U,15:M,18:M,20:M,26:M,27:M,28:M,35:M,36:M,37:M,40:M,42:M,45:M,56:U,57:U,61:U,62:U,64:U,67:U,68:U
1	757331	757413	1	73	4	4	0.530488	2:M,3:M,6:M,7:M,10:M,14:M,15:M,21:M,32:U,34:U,35:U,36:U,37:U,42:U,48:U,49:U,55:U,58:U,59:U,62:U,65:U,67:U,70:U,72:U,75:U,76:U,78:U,81:U,82:U
1	757530	757600	1	122	2	2	0.461071	2:M,4:M,5:M,10:M,22:U,24:U,26:U,28:U,35:U,36:U,44:U,46:U,50:U,52:U,53:U,57:U,61:U,63:U
