pos	unmethyl	 methyl
757129	1	1
757132	2	2
757135	3	3
757138	3	4
757141	3	5
757142	3	5
757143	4	5
757147	6	6
757151	6	6
757156	6	7
757158	6	8
757160	7	8
757162	8	9
757163	8	9
757169	8	9
757170	8	9
757175	10	11
757176	11	12
757183	10	13
757186	10	14
757187	10	14
757189	11	14
757193	11	18
757195	11	18
757196	11	18
757199	12	19
757200	12	19
757201	11	18
757203	11	18
757207	12	17
757208	13	17
757210	14	18
757214	13	18
757221	16	14
757223	15	14
757226	16	14
757230	15	14
757233	14	13
757234	15	13
757236	17	14
757237	18	14
757239	18	15
757242	19	14
757243	19	14
757245	19	13
757246	19	11
757248	19	11
757250	21	12
757251	21	12
757252	21	12
757253	21	12
757254	22	12
757255	23	12
757256	23	11
757257	23	11
757261	24	8
757262	25	8
757264	24	7
757268	22	7
757270	22	7
757273	22	7
757277	20	7
757279	18	7
757283	20	6
757285	19	6
757287	19	6
757292	19	5
757293	19	5
757295	19	5
757297	18	5
757300	18	4
757301	18	4
757306	15	3
757307	14	3
757308	14	3
757311	11	2
757313	11	2
757314	11	2
757316	11	2
757317	11	2
757320	9	1
757322	9	1
757324	8	1
757325	7	1
757326	7	1
757328	7	1
757330	5	1
757332	4	1
757340	1	3
757343	1	2
757345	1	2
757346	1	2
757349	0	2
