chr	pos	Cov	Meth
1	11007844	18	6
1	11007868	15	5
1	11007888	15	6
1	11008615	17	17
1	11008634	18	18
1	11008646	18	18
1	11008861	23	6
1	11008941	22	10
1	11008951	24	11
1	11009018	21	0
1	11009124	24	3
1	11009295	25	13
1	11009466	23	5
1	11009768	24	0
1	11010102	20	0
1	11010150	16	11
1	11010173	17	16
1	11010284	17	16
1	11010316	17	0
1	11010658	23	15
1	11010732	23	17
1	11010739	23	17
1	11011309	19	0
1	11011344	19	12
1	11011384	18	8
1	11011534	23	3
1	11011580	23	23
1	11011644	25	15
1	11011666	28	25
1	11013247	18	15
1	11013564	18	15
1	11013572	18	15
1	11013589	18	15
1	11013640	16	15
1	11014172	21	5
1	11014194	22	11
1	11014256	22	10
1	11014371	22	5
1	11014392	21	21
1	11014443	22	22
1	11014447	22	22
1	11014456	22	22
1	11014513	22	0
1	11014582	21	11
1	11014590	20	11
1	11014603	20	11
1	11014609	19	10
1	11014706	19	0
1	11014735	19	7
1	11014743	18	6
1	11014793	17	2
1	11014812	16	1
1	11014893	16	10
1	11014905	16	10
1	11014968	16	11
1	11015025	15	6
1	11015030	15	6
1	11015038	15	6
1	11015041	15	6
1	11015043	15	6
1	11015048	15	6
1	11015056	15	6
1	11015063	15	6
1	11015066	14	6
1	11015077	15	6
1	11015080	15	6
1	11015083	16	6
1	11015092	16	6
1	11015100	15	6
1	11015119	17	6
1	11015125	16	6
1	11015133	16	6
1	11015164	14	8
1	11015167	14	8
1	11015191	15	7
1	11016316	30	7
1	11016324	28	6
1	11016336	29	6
1	11016694	25	12
1	11017133	17	4
1	11017168	19	9
1	11017208	18	1
1	11017358	21	3
1	11017437	20	15
1	11017468	18	7
1	11017579	23	7
1	11018197	20	6
1	11019225	29	13
1	11019681	22	16
1	11019725	24	16
1	11019853	25	20
1	11020101	19	12
1	11020704	20	12
1	11020717	20	12
1	11021546	22	19
1	11021931	24	17
1	11023424	21	7
1	11024004	16	10
1	11024095	8	1
1	11024327	2	1
