chr	start	end	cid	npatterns	total_coverage	total_flow
3	-1	-1	1	0	0	0
3	10006911	10006961	2	1	1	1
3	10007405	10007500	3	1	5	6
3	10007500	10007562	4	1	2	2.25
3	10007573	10007623	5	1	1	1
3	10007793	10007857	6	1	2	2.25
3	10007864	10007963	7	1	4	5
3	10008040	10008090	8	1	1	1
3	10008208	10008258	9	1	1	1
3	10008287	10008349	10	1	3	4
3	10008361	10008557	11	2	6	7
3	10008850	10008900	12	1	1	1
3	10008912	10009060	13	1	9	10
3	10009380	10009432	14	1	2	2.25
3	10009626	10009676	15	1	1	1
3	10009690	10009740	16	1	1	1
3	10009743	10009864	17	2	8	0.0728889
3	10009883	10010172	18	1	14	15
3	10010187	10010284	19	1	2	2.25
3	10010377	10010427	20	1	1	1
3	10010438	10010488	21	1	1	1
3	10010502	10010552	22	1	1	1
3	10010626	10010699	23	1	2	2.25
3	10010708	10010758	24	1	1	1
3	10010777	10010891	25	1	5	6
3	10010892	10011017	26	1	9	10
3	10011023	10011192	27	2	19	0.148345
3	10011422	10011479	28	1	2	2.25
3	10011483	10011533	29	1	1	1
3	10011726	10011776	30	1	1	1
3	10011952	10012002	31	1	1	1
3	10012016	10012066	32	1	1	1
3	10012114	10012164	33	1	1	1
3	10012166	10012348	34	2	15	0.122378
3	10012348	10012429	35	1	3	4
3	10012561	10012807	36	6	26	0.163302
3	10013127	10013177	37	1	1	1
3	10013194	10013365	38	1	9	0.0617284
3	10013422	10013503	39	1	4	5
3	10013507	10013634	40	1	5	6
3	10013704	10013754	41	1	1	1
3	10013829	10014084	42	1	21	21
3	10014524	10014718	43	1	10	10
3	10014769	10014822	44	1	2	2.25
3	10014840	10015127	45	2	38	0.0714286
3	10015255	10015415	46	1	9	10
3	10015429	10015604	47	3	22	0.203396
3	10015657	10015765	48	1	6	6
3	10015972	10016151	49	1	6	0.0366972
3	10016194	10016257	50	1	2	2.25
3	10016267	10016356	51	1	3	4
3	10016358	10016408	52	1	1	1
3	10016600	10016677	53	1	4	5
3	10016696	10016746	54	1	1	1
3	10016907	10017012	55	1	4	5
3	10017388	10017525	56	1	8	9
3	10017582	10017632	57	1	1	1
3	10017692	10017742	58	1	1	1
3	10017756	10017953	59	1	17	17
3	10017954	10018012	60	2	2	2.25
3	10018118	10018241	61	1	3	4
3	10018312	10018362	62	1	1	1
3	10018411	10018461	63	1	1	1
3	10018466	10018542	64	1	2	2.25
3	10018682	10018732	65	1	1	1
3	10019077	10019193	66	1	10	10
3	10019193	10019292	67	1	3	4
3	10019548	10019598	68	1	1	1
3	10019627	10019677	69	1	1	1
3	10019707	10019790	70	1	2	2.25
3	10019883	10019971	71	1	3	4
3	10019997	10020210	72	1	13	13
3	10020217	10020267	73	1	1	1
3	10020930	10020983	74	1	2	2.25
3	10021019	10021069	75	1	1	1
3	10021071	10021220	76	1	7	8
3	10021283	10021333	77	1	1	1
3	10021539	10021589	78	1	1	1
3	10022135	10022185	79	1	1	1
3	10022200	10022250	80	1	1	1
3	10022322	10022406	81	1	2	2.25
3	10022406	10022489	82	1	2	2.25
3	10022519	10022611	83	1	4	5
3	10022862	10023402	84	2	38	0.057652
3	10023539	10023602	85	1	2	2.25
3	10023617	10023766	86	1	8	9
3	10023767	10023817	87	1	1	1
3	10023877	10023927	88	1	1	1
3	10025505	10025555	89	1	1	1
3	10025619	10025669	90	1	1	1
3	10025682	10025732	91	1	1	1
3	10025990	10026171	92	1	5	6
3	10026641	10026691	93	1	1	1
3	10026788	10026909	94	1	6	7
3	10026921	10026971	95	1	1	1
3	10027022	10027093	96	1	3	4
