pos	unmethyl	 methyl
757131	6	15
757144	24	18
757149	30	24
757152	33	28
757154	36	29
757167	66	23
757170	73	26
757171	74	26
757173	77	26
757180	87	31
757196	82	56
757197	82	55
757198	83	55
757214	81	61
757217	79	64
757227	80	64
757232	80	60
757241	78	62
757248	78	66
757253	75	61
757254	74	61
757261	76	63
757266	74	74
757285	55	88
757290	55	84
757298	55	78
757302	55	80
757333	55	92
757334	55	91
757336	54	88
757337	53	87
757338	54	85
757359	114	26
757362	114	28
757366	118	27
757388	51	88
757397	46	89
757406	45	86
757409	49	87
757412	49	89
757425	84	51
757428	86	51
757430	87	50
757433	84	50
757434	86	51
757443	87	47
757453	85	47
757463	35	97
757466	31	99
757472	37	104
757474	40	105
757479	37	100
757489	73	68
757496	74	64
757515	76	70
757521	72	70
757535	71	71
757543	66	65
757547	62	67
757554	64	65
757559	59	63
757561	58	59
757566	54	54
757569	51	47
757570	49	45
757575	44	42
757576	42	40
757585	34	31
757606	17	9
757615	9	3
757616	8	3
