pos	unmethyl	 methyl
11007845	0.521798	0.478202
11007869	1	0
11007889	1	0
11008616	0.436742	0.563258
11008635	0.436742	0.563258
11008647	0.436742	0.563258
11008862	1	0
11008942	0.230282	0.769718
11008952	0.230282	0.769718
11009019	0.775666	0.224334
11009125	0.512363	0.487637
11009296	1	0
11009467	0	1
11009769	0	1
11010103	1	0
11010151	0.55582	0.444181
11010174	0	1
11010285	0	1
11010317	0.165831	0.834169
11010659	1	0
11010733	1	0
11010740	1	0
11011310	0.744114	0.255886
11011345	0.665321	0.334679
11011385	0.694091	0.305909
11011535	1	0
11011581	1	0
11011645	0.261655	0.738345
11011667	0.261655	0.738345
11013248	0.751602	0.248398
11013565	0.674054	0.325947
11013573	0.674054	0.325947
11013590	0.693101	0.306899
11013641	0.649509	0.350491
11014173	0	1
11014195	1	0
11014257	0.135425	0.864575
11014372	0	1
11014393	0.289615	0.710386
11014444	1	0
11014448	1	0
11014457	1	0
11014514	0	1
11014583	0	1
11014591	0	1
11014604	0	1
11014610	0	1
11014707	0.16434	0.83566
11014736	0.16434	0.83566
11014744	0.16434	0.83566
11014794	1	0
11014813	1	0
11014894	1	0
11014906	1	0
11014969	0.902464	0.0975362
11015026	0.741686	0.258314
11015031	0.741686	0.258314
11015039	0.741686	0.258314
11015042	0.741686	0.258314
11015044	0.741686	0.258314
11015049	0.741686	0.258314
11015057	0.741686	0.258314
11015064	0.839222	0.160778
11015067	0.839222	0.160778
11015078	0.839222	0.160778
11015081	0.839222	0.160778
11015084	0.839222	0.160778
11015093	0.839222	0.160778
11015101	0.839222	0.160778
11015120	0.797574	0.202426
11015126	0.797574	0.202426
11015134	0.797574	0.202426
11015165	0.202426	0.797574
11015168	0.202426	0.797574
11015192	0.750769	0.249231
11016317	0	1
11016325	0	1
11016337	0	1
11016695	1	0
11017134	1	0
11017169	0.333143	0.666857
11017209	0	1
11017359	0.731523	0.268477
11017438	0.12192	0.87808
11017469	0.844824	0.155176
11017580	1	0
11018198	0	1
11019226	1	0
11019682	0.694784	0.305216
11019726	1	0
11019854	0.539223	0.460778
11020102	0.17586	0.82414
11020705	0.623146	0.376855
11020718	0.623146	0.376855
11021547	1	0
11021932	1	0
11023425	0.24192	0.75808
11024005	0.145177	0.854823
11024096	0	1
11024328	0	1
