pos	unmethyl	 methyl
757125	0	0
757126	0	0
757133	0	1
757139	1	1
757143	2	1
757145	2	1
757162	3	4
757167	6	4
757174	6	4
757175	6	4
757181	7	5
757188	8	5
757198	8	8
757201	8	9
757202	8	9
757204	8	9
757210	8	10
757216	8	11
757218	8	11
757223	8	12
757240	5	18
757244	5	18
757256	11	13
757257	11	13
757270	15	10
757280	8	19
757283	8	19
757292	8	19
757295	8	19
757298	8	19
757301	8	19
757312	14	13
757322	19	12
757325	19	12
757332	20	12
757336	19	11
757346	17	15
757365	12	17
757367	11	18
757370	11	19
757375	11	21
757378	10	20
757388	17	12
757410	15	12
757415	14	14
757421	15	16
757425	14	16
757430	14	16
757434	13	16
757436	13	16
757441	12	16
757447	11	16
757448	11	16
757451	11	16
757452	11	16
757464	17	9
757471	17	8
757474	16	8
757477	16	8
757487	11	13
757490	11	13
757496	11	13
757501	11	13
757505	11	13
757506	11	13
757522	10	10
757526	10	10
757534	9	10
757549	4	12
757550	4	12
757559	4	9
757564	4	9
757572	3	8
757573	3	7
757575	3	6
757607	2	5
757612	1	4
