pos	unmethyl	 methyl
757125	0	0
757137	0.807601	0
757141	0.807601	0
757150	0.807601	0
757155	0.807601	0
757156	0.807601	0
757170	0	0.807601
757171	0	0.807601
757180	0	0.807601
757190	0.192399	0.807601
757191	0.192399	0.807601
757198	0.192399	0.807601
757224	0.807601	0.192399
757226	0.807601	0.192399
757233	0.807601	0.192399
757235	0.807601	0.192399
757237	0.807601	0.192399
757250	0.807601	0.192399
757255	0.807601	0.192399
757265	0.807601	0.192399
757272	0.807601	0.192399
757279	0.807601	0.192399
757281	0.807601	0.192399
757282	0.807601	0.192399
757289	0.807601	0.192399
757293	0.807601	0.192399
757305	0.807601	0.192399
757317	0.192399	0.807601
757326	0.192399	0.807601
757330	0.192399	0.807601
757334	0.192399	0.807601
757347	1	0
757352	1	0
757363	0	1
757367	0	1
757377	0.807601	0.192399
757385	0.807601	0.192399
757401	0.807601	0.192399
757427	0.192399	0.807601
757439	0.192399	0.807601
757447	0.192399	0.807601
757457	0.192399	0.807601
757458	0.192399	0.807601
757460	0.192399	0.807601
757461	0.192399	0.807601
757470	0.192399	0.807601
757485	0.192399	0.807601
757498	0.192399	0.807601
757503	0.192399	0.807601
757510	0.192399	0.807601
757512	0.192399	0.807601
757513	0.192399	0.807601
757514	0.192399	0.807601
757521	0.192399	0.807601
757525	0.192399	0.807601
757526	0.192399	0.807601
757531	0.192399	0.807601
757552	0	1
757564	0	1
757576	0.192399	0.807601
757578	0.192399	0.807601
757583	0.192399	0.807601
757584	0.192399	0.807601
757585	0.192399	0.807601
757600	0.807601	0
757603	0.807601	0
757605	0.807601	0
757606	0.807601	0
757611	0.807601	0
757615	0	0
757620	0	0
