chr	pos	Cov	Meth
1	757136	2	0
1	757140	2	0
1	757149	2	0
1	757154	2	0
1	757155	2	0
1	757169	3	3
1	757170	3	3
1	757179	4	4
1	757189	6	5
1	757190	7	6
1	757197	9	8
1	757223	12	3
1	757225	12	3
1	757232	14	3
1	757234	14	3
1	757236	14	3
1	757249	16	3
1	757254	16	3
1	757264	16	3
1	757271	16	3
1	757278	17	3
1	757280	17	3
1	757281	17	3
1	757288	18	3
1	757292	20	4
1	757304	25	6
1	757316	27	20
1	757325	28	21
1	757329	29	22
1	757333	29	22
1	757346	32	0
1	757351	32	0
1	757362	33	33
1	757366	34	34
1	757376	39	12
1	757384	41	13
1	757400	39	13
1	757426	38	27
1	757438	36	25
1	757446	34	23
1	757456	34	23
1	757457	34	23
1	757459	34	23
1	757460	34	23
1	757469	34	23
1	757484	32	21
1	757497	27	19
1	757502	26	18
1	757509	25	17
1	757511	24	16
1	757512	24	16
1	757513	24	16
1	757520	23	16
1	757524	22	15
1	757525	22	15
1	757530	21	14
1	757551	16	16
1	757563	14	14
1	757575	8	6
1	757577	7	5
1	757582	5	4
1	757583	5	4
1	757584	5	4
1	757599	2	0
1	757602	2	0
1	757604	2	0
1	757605	2	0
1	757610	2	0
