pos	unmethyl	 methyl
757121	0	0.453009
757124	0.546991	0.453009
757127	0.546991	0.453009
757128	0.546991	0.453009
757130	0.546991	0.453009
757137	0.546991	0.453009
757139	0.546991	0.453009
757153	0.630548	0.369452
757157	0.630548	0.369452
757158	0.630548	0.369452
757163	0.630548	0.369452
757170	0.630548	0.369452
757171	0.630548	0.369452
757173	0.630548	0.369452
757174	0.630548	0.369452
757185	0.702793	0.297207
757187	0.702793	0.297207
757188	0.702793	0.297207
757204	0.61358	0.386421
757213	0.605352	0.394648
757226	0.21802	0.78198
757254	0.400304	0.599696
757263	0.393362	0.606638
757268	0.40776	0.59224
757275	0.424985	0.575015
757277	0.416758	0.583242
757282	0.409302	0.590698
757283	0.409302	0.590698
757285	0.409302	0.590698
757291	0.409302	0.590698
757295	0.409302	0.590698
757297	0.409302	0.590698
757298	0.409302	0.590698
757303	0.409302	0.590698
757306	0.409302	0.590698
757308	0.409302	0.590698
757310	0.409302	0.590698
757317	0.409302	0.590698
757321	0.409302	0.590698
757333	0.598013	0.401987
757338	0.598013	0.401987
757342	0.598013	0.401987
757345	0.598013	0.401987
757348	0.598013	0.401987
