pos	unmethyl	 methyl
757125	0	0
757128	0	0
757131	0	0.780337
757135	0	0.780337
757140	0.219663	0.780337
757158	0.780337	0.219663
757165	0.780337	0.219663
757170	0.780337	0.219663
757171	0.780337	0.219663
757174	0.780337	0.219663
757175	0.780337	0.219663
757177	0.780337	0.219663
757185	0.780337	0.219663
757191	0.780337	0.219663
757198	0.780337	0.219663
757219	1	0
757239	0.219663	0.780337
757244	0.219663	0.780337
757249	0.219663	0.780337
757250	0.219663	0.780337
757263	0	1
757271	0	1
757273	0	1
757274	0	1
757281	0	1
757282	0	1
757306	0	1
757308	0	1
757309	0	1
757313	0	1
757351	1	0
757353	1	0
757362	1	0
757384	0.219663	0.780337
757392	0.219663	0.780337
757404	1	0
757409	1	0
757422	0.268961	0.731039
757426	0.268961	0.731039
757427	0.268961	0.731039
757429	0.268961	0.731039
757431	0.268961	0.731039
757436	0.268961	0.731039
757438	0.268961	0.731039
757457	0.268961	0.731039
757468	0.268961	0.731039
757469	0.268961	0.731039
757472	0.268961	0.731039
757473	0.268961	0.731039
757474	0.268961	0.731039
757479	0.268961	0.731039
757490	1	0
757498	1	0
757505	1	0
757509	1	0
757514	1	0
757521	1	0
757523	1	0
757528	1	0
757530	1	0
757531	1	0
757539	1	0
757546	1	0
757559	0	1
757562	0	1
757563	0	1
757566	0	1
757574	0	1
757575	0	1
757586	0	1
757611	0.268961	0
757619	0	0
