pos	unmethyl	 methyl
757121	0.9	0.1
757139	0.45	0.55
757142	0.45	0.55
757143	0.45	0.55
757144	0.45	0.55
757154	0.55	0.45
757160	0.55	0.45
757166	0.55	0.45
757170	0.55	0.45
757174	0.55	0.45
757180	0.55	0.45
757189	0.55	0.45
757193	0.55	0.45
757194	0.55	0.45
757201	0.55	0.45
757207	0.55	0.45
757213	0.55	0.45
757214	0.55	0.45
757218	0.55	0.45
757220	0.55	0.45
757223	0.55	0.45
757224	0.55	0.45
757236	0.65	0.35
757249	0.4	0.6
757253	0.4	0.6
757258	0.4	0.6
757260	0.4	0.6
757266	0.4	0.6
757270	0.4	0.6
757273	0.4	0.6
757279	0.4	0.6
757295	0.7	0.3
757301	0.7	0.3
757313	0.4	0.6
757316	0.4	0.6
757318	0.4	0.6
757320	0.4	0.6
757321	0.4	0.6
757325	0.4	0.6
757326	0.4	0.6
757327	0.4	0.6
757333	0.4	0.6
757335	0.4	0.6
757337	0.4	0.6
757346	0.4	0.6
757349	0.4	0.6
