pos	unmethyl	 methyl
757134	0.66824	0.33176
757147	0.69111	0.30889
757157	1	0
757159	1	0
757163	1	0
757166	1	0
757177	0.450563	0.549437
757179	0.450563	0.549437
757192	0	1
757194	0	1
757210	0.8079	0.1921
757215	0.8079	0.1921
757218	0.8079	0.1921
757234	0.526181	0.473819
757236	0.526181	0.473819
757247	0.427545	0.572455
757255	0.427545	0.572455
757256	0.427545	0.572455
757259	0.427545	0.572455
757266	0.51596	0.48404
757277	0.426341	0.573659
757290	0	1
757291	0	1
757299	0	1
757303	0	1
757310	0	1
757318	0	1
757327	0	1
757328	0	1
757331	0	1
757335	0	1
757348	0.14827	0.85173
757352	0.14827	0.85173
757362	0.159004	0.840996
757365	0.159004	0.840996
757373	0.159004	0.840996
757375	0.159004	0.840996
757376	0.159004	0.840996
757377	0.159004	0.840996
757379	0.159004	0.840996
757389	0.159004	0.840996
757396	0.159004	0.840996
757397	0.159004	0.840996
757406	0.159004	0.840996
757443	0	1
757452	0	1
757468	0.159004	0.840996
757470	0.159004	0.840996
757473	0.159004	0.840996
757477	0.159004	0.840996
757478	0.159004	0.840996
757480	0.159004	0.840996
757482	0.159004	0.840996
757483	0.159004	0.840996
757485	0.159004	0.840996
757486	0.159004	0.840996
757488	0.159004	0.840996
757496	0.159004	0.840996
757499	0.159004	0.840996
757513	1	0
757530	0.48245	0.51755
757535	0.48245	0.51755
757536	0.48245	0.51755
757545	0.48245	0.51755
757546	0.48245	0.51755
757553	0.468097	0.531904
757555	0.468097	0.531904
757570	0.531904	0.468097
757572	0.531904	0.468097
757589	0.468097	0.531904
757590	0.468097	0.531904
757591	0.468097	0.531904
757601	0.468097	0.531904
757602	0.468097	0.531904
757603	0.468097	0.531904
757612	0.468097	0.531904
757613	0.468097	0.531904
