chr	start	end	cid	rid	raw_coverage	norm_coverage	exp_coverage	methylpat
13	19218085	19218165	1	0	21	18.6071	18.6071	5:M,8:M,22:M
13	19218085	19218165	1	1	5	4.56174	4.56174	5:U,8:M,22:U
13	19218085	19218165	1	2	81	34.5732	34.5732	5:U,8:U,22:U
13	19218085	19218164	1	3	2	1.64062	1.64062	5:M,8:U,22:M
13	19218085	19218165	1	4	8	7.02268	7.02268	5:U,8:U,22:M
13	19218085	19218165	1	5	16	16.3462	16.3462	5:M,8:M,22:U
13	19218085	19218165	1	6	5	5.02191	5.02191	5:M,8:U,22:U
13	19239922	19240004	2	0	79	28.5925	28.5925	13:M,71:U
13	19239922	19240002	2	1	6	1.16044	1.16044	13:U,71:U
13	19239922	19240003	2	2	39	5.96068	5.96068	13:M,71:M
13	19239923	19240002	2	4	9	0.565714	0.565714	12:U,70:M
13	19242519	19242598	3	0	1	1	1	63:U
13	19631347	19631419	4	0	1	1	1	1:M,25:M,31:M,37:M
13	19631347	19631426	4	1	1	1	1	1:U,25:U,31:U,37:U
13	19631347	19631426	4	2	1	1	1	1:U,25:M,31:M,37:U
13	19631609	19631690	5	0	87	60	60	*
13	19631727	19631808	6	0	70	29.0231	29.0231	56:M,60:M,64:M
13	19631728	19631808	6	8	16	4.78992	4.78992	55:M,59:U,63:M
13	19631728	19631807	6	2	1	0.220588	0.220588	55:M,59:M,63:U
13	19631728	19631807	6	1	1	0.220588	0.220588	55:M,59:U,63:U
13	19631728	19631808	6	7	4	15.6618	15.6618	55:U,59:M,63:M
13	19631728	19631807	6	12	1	0.220588	0.220588	55:U,59:U,63:U
13	19633202	19633281	7	0	4	4.75	4.75	33:U,43:U,72:M,77:U
13	19633203	19633282	7	8	2	1.72727	1.72727	32:M,42:M,71:M,76:M
13	19633203	19633282	7	2	1	0.863636	0.863636	32:M,42:U,71:M,76:M
13	19633203	19633282	7	1	8	6.90909	6.90909	32:U,42:U,71:M,76:M
13	19633439	19633520	8	0	12	8	8	*
13	19633557	19633637	9	0	5	2.88889	2.88889	8:M,79:M
13	19633557	19633637	9	1	2	1.22222	1.22222	8:M,79:U
13	19648309	19648445	10	0	8	8	8	15:M,32:M,55:U
13	19648507	19648586	11	0	1	0.583333	0.583333	3:M,53:M
13	19648507	19648586	11	12	2	1.16667	1.16667	3:M,53:U
13	19648507	19648587	11	2	2	4.08333	4.08333	3:U,53:U
13	19648625	19648704	12	0	1	0.6	0.6	7:U,67:M
13	19648625	19648705	12	12	3	4.2	4.2	7:U,67:U
13	19658903	19658982	13	0	1	1	1	*
13	19687792	19687871	14	0	1	1	1	25:M,41:M,63:U
13	19728251	19728372	15	0	49	12.1065	12.1065	15:M,66:M
13	19728285	19728372	15	1	15	4.45376	4.45376	32:U
13	19728404	19728498	16	0	6	2.42857	2.42857	6:M,20:U
13	19728418	19728498	16	1	3	1.57143	1.57143	6:M
13	19745960	19746040	17	0	5	6	6	3:U
13	19746059	19746138	18	0	11	11	11	*
13	19746140	19746220	19	0	118	174.75	174.75	*
13	19746257	19746336	20	0	1	16	0.434908	5:U
13	19746258	19746338	20	5	46	19.5034	19.5034	4:M,79:U
13	19746258	19746337	20	14	8	1.76552	1.76552	4:M,79:M
13	19746258	19746338	20	4	62	26.1517	26.1517	4:U,79:U
13	19746258	19746338	20	1	27	9.07586	9.07586	4:U,79:M
13	19747276	19747356	21	0	20	16.5	16.5	*
13	19747393	19747474	22	0	3	6.43478	6.43478	35:M,47:U
13	19747394	19747474	22	1	20	12.6522	12.6522	34:M,46:M
13	19747394	19747474	22	5	3	1.86957	1.86957	34:U,46:U
13	19747394	19747474	22	14	7	3.6087	3.6087	34:U,46:M
13	19755120	19755199	23	0	1	1	1	14:M,66:M
13	19769174	19769253	24	0	1	1	1	30:U
13	19872644	19872716	25	0	1	1	1	*
13	19872760	19872839	26	0	9	4.60976	4.60976	14:U
13	19872760	19872840	26	1	17	29.1951	29.1951	14:M
13	19872878	19872957	27	0	1	1	1	22:M,27:M
13	19909674	19909753	28	0	1	1	1	27:M,48:M
13	19909936	19910015	29	0	1	1	1	*
13	19910041	19910121	30	0	14	12.5	2.1125	7:M
13	19910041	19910120	30	1	1	1	0	7:U
13	19910054	19910133	30	6	1	13	13	*
13	19910159	19910239	31	0	16	13.5	13.5	*
13	19911468	19911604	32	0	2	2.25	2.25	*
13	19919168	19919248	33	0	55	57.8448	57.8448	8:M,19:M,39:M,45:M,51:M
13	19919168	19919247	33	5	3	1.57759	1.57759	8:M,19:M,39:M,45:U,51:M
13	19919168	19919247	33	1	1	0.525862	0.525862	8:M,19:U,39:M,45:M,51:M
13	19919168	19919247	33	6	1	0.525862	0.525862	8:U,19:M,39:M,45:M,51:M
13	20003472	20003551	34	0	1	1	1	72:U
13	20006574	20006646	35	0	1	1	1	40:M,45:M
13	20039382	20039461	36	0	1	1	1	18:M,56:M
13	20064742	20064822	37	0	20	29.25	29.25	*
13	20090548	20090627	38	0	2	2	2	*
13	20138999	20139078	39	0	1	1	1	6:M,9:M,14:M,18:M,28:M,51:M,72:M,75:M
13	20139000	20139158	39	1	2	2	2	5:M,8:M,13:M,17:M,27:M,50:M,71:U,74:U,105:U,119:U,128:U,140:M,156:M
13	20139118	20139197	39	5	1	1	1	1:U,10:U,22:U,38:M,47:M,54:M,57:U,62:U,74:U
13	20139125	20139197	39	14	1	2	2	3:M,15:U,31:M,40:M,47:M,50:M,55:M,67:U
