chr	start	end	cid	rid	raw_coverage	norm_coverage	exp_coverage	methylpat
1	757126	757272	1	0	7	6.5	2.87742	4:M,8:M,11:M,18:M,19:M,20:M,23:M,25:M,29:M,30:M,32:M,33:M,36:M,39:M,41:M,44:M,46:M,51:M,52:M,55:M,57:M,59:M,62:M,68:M,76:M,77:M,82:M,83:M,84:M,85:M,89:M,93:M,97:M,103:M,108:M,109:M,113:M,114:M,115:M,118:M,119:M,121:M,124:M,126:M,128:M,132:M,133:M,134:M,136:M,145:M,146:M
1	757132	757207	1	1	3	3	0.507849	2:U,5:U,12:U,13:U,14:U,17:U,19:U,23:U,24:U,26:U,27:U,30:U,33:U,35:U,38:U,40:U,45:U,46:U,49:U,51:U,53:U,56:U,62:U,70:U,71:U
1	757206	757275	1	25	1	1	0.719354	2:M,3:M,4:M,5:M,9:M,13:M,17:M,23:M,28:M,29:M,33:M,34:M,35:M,38:M,39:M,41:M,44:M,46:M,48:M,52:M,53:M,54:M,56:M,65:M,66:M,67:M
1	757139	757246	1	4	14	10	2.82944	5:U,6:U,7:U,10:U,12:U,16:U,17:U,19:U,20:U,23:U,26:U,28:U,31:U,33:U,38:U,39:U,42:U,44:U,46:U,49:U,55:U,63:U,64:U,69:U,70:U,71:U,72:U,76:U,80:U,84:U,90:U,95:U,96:U,100:U,101:U,102:U,105:U,106:U
1	757275	757362	1	42	4	4	0.976819	2:U,4:U,9:U,10:U,13:U,16:U,17:U,18:U,29:M,30:M,31:M,33:M,35:M,36:M,38:M,39:M,41:M,43:M,47:M,53:M,61:M,64:M,66:M,68:M,77:M,81:M,84:M,85:M,87:M
1	757226	757302	1	28	3	2.66667	0.719354	3:M,8:M,9:M,13:M,14:M,15:M,18:M,19:M,21:M,24:M,26:M,28:M,32:M,33:M,34:M,36:M,45:M,46:M,47:M,51:M,53:M,58:M,59:M,62:M,65:M,66:M,67:M
1	757178	757302	1	19	10	9.66667	5.85092	0:U,3:U,5:U,7:U,10:U,16:U,24:U,25:U,30:U,31:U,32:U,33:U,37:U,41:U,45:U,51:U,56:U,57:U,61:U,62:U,63:U,66:U,67:U,69:U,72:U,74:U,76:U,80:U,81:U,82:U,84:U,93:U,94:U,95:U,99:U,101:U,106:U,107:U,110:U,113:U,114:U,115:U
1	757246	757324	1	35	3	3	2.06901	1:M,4:M,6:M,8:M,12:M,13:M,14:M,16:M,25:M,26:M,27:M,31:M,33:M,38:M,39:M,42:M,45:M,46:M,47:M,58:U,59:U,60:U,62:U,64:U,65:U,67:U,68:U,70:U,72:U,76:U
1	757295	757366	1	49	2	1.66667	1.82777	9:M,10:M,11:M,13:M,15:M,16:M,18:M,19:M,21:M,23:M,27:M,33:M,41:M,44:M,46:M,48:M,57:M,61:M,64:M,65:M,67:M,68:M
1	757241	757328	1	34	5	5	1.66059	0:U,3:U,4:U,6:U,9:U,11:U,13:U,17:U,18:U,19:U,21:U,30:U,31:U,32:U,36:U,38:U,43:U,44:U,47:U,50:U,51:U,52:U,63:M,64:M,65:M,67:M,69:M,70:M,72:M,73:M,75:M,77:M,81:M,87:M
1	757295	757368	1	50	2	1.66667	1.67423	9:U,10:U,11:U,13:U,15:U,16:U,18:U,19:U,21:U,23:U,27:U,33:U,41:U,44:U,46:U,48:U,57:U,61:U,64:U,65:U,67:U,68:U
1	757278	757347	1	43	1	1	0.124535	1:M,6:M,7:M,10:M,13:M,14:M,15:M,26:U,27:U,28:U,30:U,32:U,33:U,35:U,36:U,38:U,40:U,44:U,50:U,58:U,61:U,63:U,65:U
1	757323	757394	1	58	3	3	1.21344	5:M,13:M,16:M,18:M,20:M,29:M,33:M,36:M,37:M,39:M,40:M,47:M,49:M,50:M,51:M,53:M,54:M,58:M,61:M,62:M,63:M,67:M
