chr	start	end	cid	rid	raw_coverage	norm_coverage	exp_coverage	methylpat
1	757126	757325	1	0	1	1	1	1:U,4:U,8:U,10:U,24:M,25:M,31:M,36:M,40:M,41:M,45:M,48:M,60:M,63:M,65:M,66:M,69:M,74:M,75:M,76:M,93:M,96:M,115:M,120:M,129:M,131:M,138:M,141:M,150:M,163:U,168:U,171:U,174:U,179:U,187:U,195:U
1	757127	757326	1	1	1	1	1	0:U,3:U,7:U,9:U,23:U,24:U,30:U,35:U,39:U,40:U,44:U,47:U,59:M,62:M,64:M,65:M,68:M,73:M,74:M,75:M,92:U,95:U,114:M,119:M,128:M,130:M,137:M,140:M,149:M,162:U,167:U,170:U,173:U,178:U,186:U,194:U
1	757133	757371	1	2	2	2	2	1:M,3:M,17:M,18:M,24:M,29:M,33:M,34:M,38:M,41:M,53:M,56:M,58:M,59:M,62:M,67:M,68:M,69:M,86:U,89:U,108:U,113:U,122:U,124:U,131:U,134:U,143:U,156:U,161:U,164:U,167:U,172:U,180:U,188:U,194:U,198:U,206:U,216:U,217:U,222:U,223:U,224:U,225:U,228:U,236:U
1	757143	757342	1	4	1	1	4.0066	7:U,8:U,14:U,19:U,23:U,24:U,28:U,31:U,43:M,46:M,48:M,49:M,52:M,57:M,58:M,59:M,76:M,79:M,98:U,103:U,112:U,114:U,121:U,124:U,133:U,146:M,151:M,154:M,157:M,162:M,170:M,178:M,184:M,188:M,196:M
1	757147	757346	1	6	1	1	1	3:M,4:M,10:M,15:M,19:M,20:M,24:M,27:M,39:U,42:U,44:U,45:U,48:U,53:U,54:U,55:U,72:U,75:U,94:M,99:M,108:M,110:M,117:M,120:M,129:M,142:M,147:M,150:M,153:M,158:M,166:M,174:M,180:M,184:M,192:M
1	757154	757353	1	9	1	1	0	3:M,8:M,12:M,13:M,17:M,20:M,32:U,35:U,37:U,38:U,41:U,46:U,47:U,48:U,65:M,68:M,87:M,92:M,101:M,103:M,110:M,113:M,122:M,135:U,140:U,143:U,146:U,151:U,159:U,167:U,173:U,177:U,185:U,195:M,196:M
1	757325	757524	1	40	1	1	1	2:M,6:M,14:M,24:U,25:U,30:U,31:U,32:U,33:U,36:U,44:U,48:U,55:U,78:U,88:U,103:U,119:M,135:U,136:U,156:U,162:U,170:U,187:U,189:U,192:U
1	757140	757339	1	3	1	1	1	10:M,11:M,17:M,22:M,26:M,27:M,31:M,34:M,46:M,49:M,51:M,52:M,55:M,60:M,61:M,62:M,79:M,82:M,101:M,106:M,115:M,117:M,124:M,127:M,136:M,149:U,154:U,157:U,160:U,165:U,173:U,181:U,187:U,191:U,199:U
1	757146	757347	1	5	2	2	0.624573	4:U,5:U,11:U,16:U,20:U,21:U,25:U,28:U,40:M,43:M,45:M,46:M,49:M,54:M,55:M,56:M,73:U,76:U,95:M,100:M,109:M,111:M,118:M,121:M,130:M,143:U,148:U,151:U,154:U,159:U,167:U,175:U,181:U,185:U,193:U
1	757221	757420	1	19	1	1	1	1:U,20:U,25:U,34:U,36:U,43:U,46:U,55:U,68:U,73:U,76:U,79:U,84:U,92:U,100:U,106:U,110:U,118:U,128:U,129:U,134:U,135:U,136:U,137:U,140:U,148:U,152:U,159:U,182:U,192:M
