pos	unmethyl	 methyl
757122	1	20
757123	1	20
757133	0	21
757136	0	21
757137	0	21
757139	0	21
757145	0	21
757146	0	21
757149	0	21
757150	0	21
757153	0	21
757159	0	21
757164	0	21
757168	0	21
757169	0	21
757173	0	21
757176	0	21
757178	0	21
757180	0	21
757186	0	21
757196	20	1
757198	20	1
757203	20	1
757207	20	1
757208	20	1
757210	20	1
757214	20	1
757225	21	0
757238	21	0
757244	21	0
757248	21	0
757257	21	0
757266	21	0
757268	21	0
757271	21	0
757272	21	0
757275	21	0
757282	21	0
757283	21	0
757299	0	21
757320	1	20
757322	1	20
757326	1	20
757327	1	20
757328	1	20
757332	1	20
757340	1	20
757348	1	20
