pos	unmethyl	 methyl
757122	0.3	0.7
757123	0.3	0.7
757124	0.3	0.7
757131	0.3	0.7
757133	0.3	0.7
757135	0.3	0.7
757138	0.3	0.7
757139	0.3	0.7
757143	0.3	0.7
757150	0.3	0.7
757153	0.3	0.7
757154	0.3	0.7
757161	0.3	0.7
757165	0.3	0.7
757168	0.3	0.7
757169	0.3	0.7
757170	0.3	0.7
757177	0.3	0.7
757178	0.3	0.7
757181	0.3	0.7
757184	0.3	0.7
757186	0.3	0.7
757190	0.3	0.7
757196	0.3	0.7
757199	0.3	0.7
757215	0.7	0.3
757216	0.7	0.3
757221	0.7	0.3
757222	0.7	0.3
757229	0.7	0.3
757239	1	0
757246	1	0
757247	1	0
757251	1	0
757252	1	0
757254	1	0
757257	1	0
757258	1	0
757259	1	0
757263	1	0
757265	1	0
757267	1	0
757269	1	0
757270	1	0
757271	1	0
757274	1	0
757277	1	0
757278	1	0
757279	1	0
757282	1	0
757287	1	0
757289	1	0
757300	0.3	0.7
757303	0.3	0.7
757306	0.3	0.7
757314	0.3	0.7
757316	0.3	0.7
757325	0.3	0.7
757333	0.3	0.7
757335	0.3	0.7
757339	0.3	0.7
757342	0.3	0.7
757343	0.3	0.7
757347	0.3	0.7
757348	0.3	0.7
757349	0.3	0.7
