pos	unmethyl	 methyl
757126	0	0
757135	0	0.674789
757137	0	0.674789
757138	0	0.674789
757139	0	0.674789
757144	0	0.674789
757145	0	0.674789
757147	0.325211	0.674789
757149	0.325211	0.674789
757152	0.325211	0.674789
757155	0.325211	0.674789
757156	0.325211	0.674789
757157	0.325211	0.674789
757158	0.325211	0.674789
757161	0.325211	0.674789
757162	0.325211	0.674789
757164	0.325211	0.674789
757165	0.325211	0.674789
757167	0.325211	0.674789
757171	0.325211	0.674789
757172	0.325211	0.674789
757173	0.325211	0.674789
757174	0.325211	0.674789
757177	0.325211	0.674789
757182	0.325211	0.674789
757188	0.325211	0.674789
757189	0.325211	0.674789
757191	0.325211	0.674789
757192	0.325211	0.674789
757199	0.43256	0.56744
757200	0.43256	0.56744
757201	0.43256	0.56744
757203	0.43256	0.56744
757206	0.43256	0.56744
757207	0.43256	0.56744
757212	0.520558	0.479442
757213	0.520558	0.479442
757224	0.564233	0.435767
757226	0.564233	0.435767
757231	0.564233	0.435767
757232	0.564233	0.435767
757234	0.564233	0.435767
757241	0.416674	0.583326
757243	0.416674	0.583326
757246	0.416674	0.583326
757249	0.385193	0.614807
757253	0.385193	0.614807
757254	0.385193	0.614807
757256	0.385193	0.614807
757257	0.385193	0.614807
757258	0.385193	0.614807
757259	0.385193	0.614807
757261	0.385193	0.614807
757263	0.385193	0.614807
757264	0.385193	0.614807
757272	0.516159	0.483841
757273	0.516159	0.483841
757274	0.516159	0.483841
757275	0.516159	0.483841
757276	0.516159	0.483841
757277	0.516159	0.483841
757279	0.516159	0.483841
757280	0.516159	0.483841
757281	0.516159	0.483841
757282	0.516159	0.483841
757283	0.516159	0.483841
757285	0.516159	0.483841
757286	0.516159	0.483841
757288	0.516159	0.483841
757290	0.516159	0.483841
757291	0.516159	0.483841
757294	0.516159	0.483841
757296	0.516159	0.483841
757299	0.516159	0.483841
757306	0.516159	0.483841
757316	0.452361	0.547639
757319	0.452361	0.547639
757321	0.452361	0.547639
757323	0.452361	0.547639
757324	0.452361	0.547639
757326	0.452361	0.547639
757332	0.452361	0.547639
757334	0.452361	0.547639
757337	0.452361	0.547639
757340	0.452361	0.547639
757341	0.452361	0.547639
757343	0.452361	0.516159
757345	0.452361	0.516159
757346	0.452361	0.516159
757350	0.452361	0
