pos	unmethyl	 methyl
757129	0.5	0.5
757132	0.5	0.5
757135	0.5	0.5
757138	0.5	0.5
757141	0.5	0.5
757142	0.5	0.5
757143	0.5	0.5
757147	0.5	0.5
757151	0.5	0.5
757156	0.5	0.5
757158	0.5	0.5
757160	0.5	0.5
757162	0.5	0.5
757163	0.5	0.5
757169	0.5	0.5
757170	0.5	0.5
757175	0.5	0.5
757176	0.5	0.5
757183	0.4	0.6
757186	0.4	0.6
757187	0.4	0.6
757189	0.4	0.6
757193	0.4	0.6
757195	0.4	0.6
757196	0.4	0.6
757199	0.4	0.6
757200	0.4	0.6
757201	0.4	0.6
757203	0.4	0.6
757207	0.4	0.6
757208	0.4	0.6
757210	0.4	0.6
757214	0.4	0.6
757221	0.6	0.4
757223	0.6	0.4
757226	0.6	0.4
757230	0.6	0.4
757233	0.6	0.4
757234	0.6	0.4
757236	0.6	0.4
757237	0.6	0.4
757239	0.6	0.4
757242	0.6	0.4
757243	0.6	0.4
757245	0.6	0.4
757246	0.6	0.4
757248	0.6	0.4
757250	0.6	0.4
757251	0.6	0.4
757252	0.6	0.4
757253	0.6	0.4
757254	0.6	0.4
757255	0.6	0.4
757256	0.6	0.4
757257	0.6	0.4
757261	0.6	0.4
757262	0.6	0.4
757264	0.6	0.4
757268	0.6	0.4
757270	0.6	0.4
757273	0.6	0.4
757277	0.6	0.4
757279	0.6	0.4
757283	0.6	0.4
757285	0.6	0.4
757287	0.6	0.4
757292	0.6	0.4
757293	0.6	0.4
757295	0.6	0.4
757297	0.6	0.4
757300	0.6	0.4
757301	0.6	0.4
757306	0.6	0.4
757307	0.6	0.4
757308	0.6	0.4
757311	0.6	0.4
757313	0.6	0.4
757314	0.6	0.4
757316	0.6	0.4
757317	0.6	0.4
757320	0.6	0.4
757322	0.6	0.4
757324	0.6	0.4
757325	0.6	0.4
757326	0.6	0.4
757328	0.6	0.4
757330	0.6	0.4
757332	0.6	0.4
757340	0.4	0.6
757343	0.4	0.6
757345	0.4	0.6
757346	0.4	0.6
757349	0.4	0.6
