pos	unmethyl	 methyl
757121	0.5	0.5
757123	0.5	0.5
757126	0.5	0.5
757130	0.5	0.5
757131	0.5	0.5
757133	0.5	0.5
757135	0.5	0.5
757140	0.5	0.5
757143	0.5	0.5
757144	0.5	0.5
757155	0.5	0.5
757160	0.5	0.5
757161	0.5	0.5
757165	0.5	0.5
757166	0.5	0.5
757167	0.5	0.5
757168	0.5	0.5
757169	0.5	0.5
757170	0.5	0.5
757172	0.5	0.5
757173	0.5	0.5
757174	0.5	0.5
757177	0.5	0.5
757178	0.5	0.5
757182	0.5	0.5
757183	0.5	0.5
757187	0.5	0.5
757188	0.5	0.5
757194	0.5	0.5
757204	0.15	0.85
757206	0.15	0.85
757207	0.15	0.85
757208	0.15	0.85
757210	0.15	0.85
757212	0.15	0.85
757213	0.15	0.85
757214	0.15	0.85
757216	0.15	0.85
757217	0.15	0.85
757222	0.15	0.85
757223	0.15	0.85
757227	0.15	0.85
757228	0.15	0.85
757229	0.15	0.85
757230	0.15	0.85
757232	0.15	0.85
757235	0.15	0.85
757236	0.15	0.85
757239	0.15	0.85
757240	0.15	0.85
757241	0.15	0.85
757243	0.15	0.85
757244	0.15	0.85
757252	0.15	0.85
757253	0.15	0.85
757254	0.15	0.85
757255	0.15	0.85
757261	0.15	0.85
757265	0.15	0.85
757268	0.15	0.85
757276	0.15	0.85
757278	0.15	0.85
757282	0.15	0.85
757284	0.15	0.85
757289	0.15	0.85
757290	0.15	0.85
757293	0.15	0.85
757296	0.15	0.85
757299	0.15	0.85
757302	0.15	0.85
757304	0.15	0.85
757306	0.15	0.85
757310	0.15	0.85
757315	0.15	0.85
757316	0.15	0.85
757318	0.15	0.85
757322	0.15	0.85
757325	0.15	0.85
757327	0.15	0.85
757328	0.15	0.85
757330	0.15	0.85
757334	0.15	0.85
757335	0.15	0.85
757338	0.15	0.85
757341	0.15	0.85
757346	0.15	0.85
757348	0.15	0.85
757349	0.15	0.85
757350	0.15	0.85
