pos	unmethyl	 methyl
757122	0	3
757123	0	5
757125	0	7
757126	0	8
757132	0	9
757133	0	9
757134	0	10
757135	0	10
757136	0	11
757138	0	12
757140	0	13
757142	0	14
757147	0	15
757153	0	17
757155	0	18
757157	0	18
757160	0	19
757165	0	20
757166	0	20
757170	0	21
757171	0	22
757172	0	23
757175	0	23
757176	0	23
757184	0	26
757188	0	27
757190	0	27
757191	0	25
757192	0	24
757195	0	23
757199	0	23
757201	0	26
757203	0	25
757205	0	24
757209	0	26
757210	0	26
757213	0	26
757215	0	27
757217	0	26
757219	0	27
757220	0	26
757221	0	26
757223	0	25
757224	0	24
757226	0	25
757227	0	25
757228	0	24
757231	0	25
757235	0	28
757237	0	28
757239	0	28
757240	0	29
757244	0	28
757248	0	28
757249	0	28
757250	0	29
757253	0	29
757254	0	30
757256	0	29
757257	0	30
757259	0	30
757260	0	30
757266	0	27
757267	0	27
757268	0	29
757269	0	29
757274	0	28
757277	0	25
757278	0	25
757279	0	25
757289	0	24
757291	0	24
757292	0	24
757293	0	24
757294	0	24
757295	0	23
757299	0	22
757307	0	17
757309	0	17
757316	0	14
757326	7	3
757327	6	3
757332	6	2
757335	6	2
757336	6	2
757338	4	2
757339	4	2
757341	3	2
757342	3	2
757343	2	2
757344	2	2
757349	1	2
