chr	start	end	cid	rid	raw_coverage	norm_coverage	exp_coverage	methylpat
1	11006912	11007844	1	0	162	151	152.032	*
1	11007762	11007940	1	151	9	7.33333	7.33333	83:M,107:U,127:U
1	11007767	11007944	1	153	10	9.33333	7.53644	78:U,102:U,122:U
1	11007848	11008615	1	169	138	127	122.68	21:U,41:U
1	11008536	11008644	1	296	2	1.66667	3.1134	80:M,99:M
1	11008536	11008726	1	297	9	8.33333	8.33333	80:U,99:U,111:U
1	11008567	11008746	1	302	19	16.6667	8.73759	49:M,68:M,80:M
1	11008643	11008742	1	323	1	1	0.856698	4:U
1	11008654	11008938	1	325	40	38	36.7056	208:U
1	11008856	11009012	1	363	4	4	4	6:U,86:U,96:U
1	11008861	11009004	1	364	7	7	10.8825	1:U,81:M,91:M
1	11008940	11009039	1	375	1	1	1	2:U,12:U,79:M
1	11008970	11009109	1	378	5	4	9.03479	49:U
1	11008934	11009047	1	374	3	3	4.31901	8:M,18:M,85:U
1	11008984	11009111	1	380	2	2	2	35:M
1	11009034	11009210	1	384	8	8	8	91:M
1	11009036	11009218	1	386	8	8	8.22215	89:U
1	11009126	11010146	1	400	201	181	166.645	170:U,341:M,643:M,977:U
1	11010055	11010249	1	581	10	8	8	48:U,96:M,119:M
1	11010065	11010231	1	583	6	6	9.01863	38:U,86:U,109:M
1	11010156	11010309	1	595	8	8	12.0071	18:M,129:M
1	11010220	11010352	1	603	4	3.66667	3.66667	65:M,97:U
1	11010224	11010412	1	604	10	9.66667	17.8493	61:M,93:M
1	11010344	11011304	1	617	171	159	156.788	315:U,389:U,396:U
1	11011222	11011343	1	776	5	5	5	88:U
1	11011227	11011326	1	778	1	1	1.68816	83:M
1	11011251	11011408	1	782	8	6	7.59285	59:U,94:U,134:U
1	11011333	11011478	1	795	3	3	3	12:M,52:M
1	11011315	11011436	1	791	6	5	3.67779	30:U,70:U
1	11011264	11011384	1	784	2	2	2	46:M,81:M
1	11011388	11011642	1	802	44	37	29.1668	147:U,193:U
1	11011346	11011467	1	797	3	3	5.19827	39:U
