chr	start	end	cid	rid	raw_coverage	norm_coverage	exp_coverage	methylpat
1	757122	757218	1	0	3	3	2.17617	6:M,9:M,10:M,16:M,19:M,20:M,23:M,37:M,38:M,42:M,54:M,61:M,62:M,63:M,66:M,69:M,71:M,75:M,76:M,77:M,88:U,92:U
1	757127	757222	1	1	5	5	2.00838	1:M,4:M,5:M,11:M,14:M,15:M,18:M,32:M,33:M,37:M,49:U,56:U,57:U,58:U,61:U,64:U,66:U,70:U,71:U,72:U,83:U,87:U
1	757136	757205	1	4	1	1	0.681392	2:M,5:M,6:M,9:M,23:U,24:U,28:U,40:M,47:M,48:M,49:M,52:M,55:M,57:M,61:M,62:M,63:M
1	757793	757862	1	183	1	1	0	0:M,8:M,12:M,22:M,33:U,46:U,47:U,49:U,54:U,55:U,59:U
1	757920	757989	1	217	1	1	0	1:U,2:U,3:U,8:U,11:U,13:U,21:U,28:U,29:U,31:U,45:U,57:U,60:U,64:U
1	759519	759588	1	648	1	1	0.0107376	2:M,5:M,6:M,12:M,16:M,21:M,22:M,31:M,37:M,41:M,44:M,47:M,50:M,57:M,58:M,62:M,63:M,64:M,68:M
1	757159	757230	1	10	2	2	0.156588	0:M,1:M,5:M,17:M,24:M,25:M,26:M,29:M,32:M,34:M,38:M,39:M,40:M,51:U,55:U,65:M,66:M,68:M,69:M
1	757218	757287	1	21	1	1	0.486111	6:U,7:U,9:U,10:U,27:M,30:M,39:M,50:M,53:M,68:M
1	757155	757258	1	9	4	4	3.10862	4:M,5:M,9:M,21:U,28:U,29:U,30:U,33:U,36:U,38:U,42:U,43:U,44:U,55:U,59:U,69:U,70:U,72:U,73:U,90:M,93:M,102:M
1	757209	757284	1	18	3	3	1.27441	1:U,5:U,15:M,16:M,18:M,19:M,36:M,39:M,48:M,59:U,62:U
1	757169	757262	1	13	4	3	1.45228	7:M,14:M,15:M,16:M,19:M,22:M,24:M,28:M,29:M,30:M,41:U,45:U,55:M,56:M,58:M,59:M,76:M,79:M,88:M
1	757832	757912	1	195	2	1.66667	1.94316	7:U,8:U,10:U,15:U,16:U,20:U,32:M,37:M,42:M,47:M,58:U,61:U,62:U,63:U,67:U,76:U
1	757795	757873	1	184	3	2.66667	0	6:M,10:M,20:M,31:U,44:U,45:U,47:U,52:U,53:U,57:U,69:U,74:U
1	757939	758008	1	222	1	0.666667	0.479813	2:U,9:U,10:U,12:U,26:U,38:U,41:U,45:U,53:U,57:U,66:U
1	759527	759619	1	650	3	2.66667	0.0644253	4:M,8:M,13:M,14:M,23:M,29:M,33:M,36:M,39:M,42:M,49:M,50:M,54:M,55:M,56:M,60:M,72:M,74:M,75:M,78:M,80:M,83:M
1	757287	757367	1	42	5	4.66667	1.59226	6:U,15:U,16:U,17:U,32:U,34:U,36:U,37:U,46:U,47:U,55:U,56:U,63:U,68:U,72:U,74:U
1	757239	757310	1	25	2	1.66667	0.762766	6:M,9:M,18:M,29:M,32:M,47:M,54:M,63:M,64:M,65:M
1	757236	757341	1	22	12	11.6667	5.19699	9:M,12:M,21:M,32:U,35:U,50:U,57:U,66:U,67:U,68:U,83:U,85:U,87:U,88:U,97:U,98:U
1	757274	757349	1	37	2	2	0.235768	12:M,19:M,28:M,29:M,30:M,45:M,47:M,49:M,50:M,59:M,60:M,68:M,69:M
1	757910	758033	1	212	16	13.6667	4.62079	4:M,9:M,11:M,12:M,13:M,18:M,21:M,23:M,31:M,38:M,39:M,41:M,55:M,67:U,70:U,74:U,82:U,86:U,95:U,105:U,113:U,114:U,118:U,119:U,120:U,121:U
1	757822	757913	1	193	3	3	0.259577	4:U,17:U,18:U,20:U,25:U,26:U,30:U,42:U,47:U,52:U,57:U,68:M,71:M,72:M,73:M,77:M,86:M
1	757870	757939	1	201	1	1	1.67116	4:M,9:M,20:M,23:M,24:M,25:M,29:M,38:M,44:M,49:M,51:M,52:M,53:M,58:M,61:M,63:M
1	757959	758028	1	225	1	1	0.215916	6:U,18:U,21:U,25:U,33:U,37:U,46:U,56:U,64:U,65:U,69:U
1	759575	759645	1	664	2	1.06667	0.0214751	1:M,2:M,6:M,7:M,8:M,12:M,24:M,26:M,27:M,30:M,32:M,35:M,51:M,59:M,60:M,67:M
1	757301	757370	1	48	1	1	0.293657	1:U,2:U,3:U,18:U,20:U,22:U,23:U,32:U,33:U,41:U,42:U,49:U,54:U,58:U,60:U,68:U
1	757363	757456	1	60	5	4	1.3886	6:M,10:M,15:M,21:M,24:M,33:M,44:M,48:M,53:M,56:M,58:M,59:M,62:M,65:M,66:M,74:M,75:M,78:M,82:M,83:M,88:M,90:M,91:M
1	757267	757336	1	34	1	1	0.143378	1:M,4:M,19:M,26:M,35:M,36:M,37:M,52:M,54:M,56:M,57:M,66:M,67:M
1	757310	757394	1	49	3	3	2.07511	9:U,11:U,13:U,14:U,23:U,24:U,32:U,33:U,40:U,45:U,49:U,51:U,59:U,63:U,68:U,74:U,77:U
1	757276	757351	1	38	2	2	0.523258	10:U,17:U,26:U,27:U,28:U,43:U,45:U,47:U,48:U,57:U,58:U,66:U,67:U,74:U
1	757336	757418	1	54	2	2	0.889444	6:M,7:M,14:M,19:M,23:M,25:M,33:M,37:M,42:M,48:M,51:M,60:M,71:M,75:M,80:M
1	757281	757366	1	40	2	1.66667	0.884824	5:M,12:M,21:M,22:M,23:M,38:M,40:M,42:M,43:M,52:M,53:M,61:M,62:M,69:M,74:M,78:M,80:M
