pos	unmethyl	 methyl
757122	2	0
757127	3	0
757132	4	0
757134	5	0
757142	8	0
757147	8	0
757150	9	0
757159	13	0
757163	14	0
757164	16	0
757166	16	0
757170	16	0
757172	17	0
757173	17	0
757175	18	0
757176	18	0
757177	18	0
757178	18	0
757180	18	0
757184	22	0
757188	25	0
757189	25	0
757192	23	0
757194	24	0
757199	23	0
757201	26	0
757209	23	0
757213	24	0
757216	26	0
757218	26	0
757219	26	0
757220	25	0
757222	25	0
757224	26	0
757232	24	0
757236	24	0
757240	24	0
757242	23	0
757244	23	0
757247	25	0
757250	25	0
757251	25	0
757254	21	0
757261	22	0
757267	22	0
757270	22	0
757271	22	0
757276	25	0
757282	25	0
757283	25	0
757286	24	0
757288	24	0
757291	25	0
757295	25	0
757296	24	0
757300	23	0
757303	23	0
757311	22	0
757312	22	0
757313	21	0
757321	22	0
757323	23	0
757327	20	0
757329	19	0
757333	22	0
757335	22	0
757336	22	0
757342	20	0
757344	19	0
757351	17	0
757352	18	0
757356	18	0
757357	18	0
757359	19	0
757361	19	0
757362	19	0
757368	21	0
757369	22	0
757371	22	0
757379	25	0
757381	25	0
757383	25	0
757388	25	0
757391	25	0
757399	25	0
757402	22	0
757405	22	0
757406	22	0
757408	22	0
757409	21	0
757413	20	0
757416	20	0
757418	20	0
757419	20	0
757420	20	0
757422	19	0
757426	18	0
757435	17	0
757438	17	0
757440	15	0
757441	15	0
757443	16	0
757447	15	0
757449	16	0
757454	17	0
757455	16	0
757456	16	0
757458	16	0
757460	17	0
757461	16	0
757467	17	0
757475	22	0
757478	23	0
757485	25	0
757489	26	0
757494	29	0
757498	31	0
757505	31	0
757517	19	10
757518	18	10
757519	18	10
757526	19	9
757530	20	9
757533	19	10
757535	21	10
757538	22	10
757539	20	10
757541	20	10
757544	18	10
757552	17	10
757553	17	9
757563	21	0
757566	18	0
757567	18	0
757571	17	0
757575	15	0
757577	14	0
757580	12	0
757592	11	0
757597	9	0
757598	9	0
757606	5	0
757607	4	0
757608	3	0
757610	3	0
757613	3	0
757616	2	0
757617	2	0
757620	0	0
