pos	unmethyl	 methyl
757123	0.25	0.75
757124	1	0
757128	0.25	0.75
757130	1	0
757131	1	0
757141	0.75	0.25
757144	0	1
757150	0.25	0.75
757151	1	0
757156	0	1
757157	0	1
757158	0.75	0.25
757160	0.75	0.25
757168	1	0
757171	0	1
757173	1	0
757175	0	1
757186	1	0
757189	0.75	0.25
757193	0	1
757194	0.75	0.25
757202	0	1
757210	1	0
757213	0.75	0.25
757225	0	1
757227	1	0
757237	1	0
757239	0.75	0.25
757240	0.75	0.25
757244	0.75	0.25
757248	0	1
757249	0	1
757250	0	1
757251	0	1
757252	0.75	0.25
757254	1	0
757258	0.75	0.25
757265	0	1
757269	0	1
757277	0.25	0.75
757278	0.25	0.75
757281	0	1
757282	0	1
757286	0.75	0.25
757289	0	1
757291	0	1
757296	0.25	0.75
757299	0.75	0.25
757300	1	0
757302	0.25	0.75
757306	0.75	0.25
757307	0.75	0.25
757308	0.75	0.25
757309	0	1
757311	0.75	0.25
757317	0.25	0.75
757318	1	0
757325	0.75	0.25
757326	1	0
757336	0	1
757340	0	1
757342	0.75	0.25
757343	0	1
757345	0	1
757346	1	0
757347	1	0
757350	1	0
