pos	unmethyl	 methyl
11007845	7	12
11007869	11	9
11007889	7	12
11008616	9	12
11008635	7	8
11008647	8	8
11008862	5	26
11008942	20	3
11008952	19	2
11009019	8	12
11009125	10	10
11009296	9	9
11009467	13	13
11009769	4	21
11010103	10	4
11010151	4	12
11010174	8	9
11010285	4	21
11010317	19	10
11010659	8	8
11010733	10	4
11010740	11	5
11011310	8	14
11011345	13	7
11011385	10	4
11011535	4	12
11011581	7	12
11011645	10	9
11011667	2	19
11013248	2	19
11013565	10	15
11013573	6	17
11013590	5	18
11013641	4	24
11014173	16	9
11014195	5	19
11014257	0	21
11014372	10	12
11014393	15	11
11014444	9	18
11014448	8	17
11014457	8	16
11014514	3	32
11014583	13	12
11014591	13	11
11014604	12	12
11014610	12	13
11014707	16	5
11014736	10	7
11014744	9	8
11014794	8	7
11014813	7	6
11014894	9	3
11014906	10	5
11014969	2	19
11015026	30	0
11015031	30	0
11015039	32	0
11015042	30	0
11015044	30	0
11015049	31	0
11015057	29	0
11015064	28	0
11015067	28	0
11015078	24	0
11015081	25	0
11015084	27	0
11015093	27	0
11015101	27	0
11015120	24	0
11015126	22	0
11015134	23	0
11015165	24	0
11015168	24	0
11015192	20	5
11016317	16	2
11016325	19	1
11016337	19	1
11016695	14	2
11017134	2	18
11017169	23	0
11017209	16	2
11017359	7	8
11017438	9	4
11017469	15	0
11017580	0	21
11018198	10	9
11019226	7	8
11019682	13	6
11019726	8	6
11019854	15	3
11020102	16	3
11020705	9	10
11020718	11	11
11021547	22	1
11021932	9	14
11023425	18	1
11024005	21	0
11024096	9	11
11024328	8	17
