chr	start	end	cid	rid	raw_coverage	norm_coverage	exp_coverage	methylpat
1	757121	757190	1	read0	1	1	1.69029	5:U,8:U,12:U,14:M,15:M,16:M,17:M,18:M,19:M,20:M,22:U,26:M,32:U,35:U,36:M,38:M,39:M,42:M,47:M,48:M,51:M,58:U,63:M,64:M
1	757121	757193	1	read1	3	3	3	5:M,8:M,12:M,14:U,15:U,16:U,17:M,18:M,19:U,20:U,22:M,26:M,32:M,35:M,36:M,38:U,39:U,42:U,47:M,48:M,51:U,58:U,63:M,64:M
1	757121	757193	1	read2	2	2	2.69857	5:U,8:U,12:M,14:U,15:M,16:M,17:M,18:M,19:M,20:M,22:M,26:U,32:M,35:M,36:M,38:U,39:U,42:U,47:U,48:U,51:U,58:M,63:M,64:M
1	757122	757193	1	read4	2	2	2	4:M,7:M,11:M,13:U,14:U,15:M,16:U,17:U,18:U,19:M,21:U,25:U,31:M,34:M,35:U,37:U,38:M,41:U,46:U,47:U,50:M,57:U,62:U,63:U
1	757122	757191	1	read5	1	1	1.20637	4:U,7:M,11:M,13:U,14:M,15:M,16:M,17:M,18:M,19:M,21:U,25:M,31:U,34:U,35:U,37:M,38:M,41:U,46:U,47:U,50:U,57:U,62:U,63:U
1	757122	757192	1	read6	2	2	2	4:U,7:U,11:M,13:M,14:M,15:M,16:M,17:M,18:M,19:M,21:U,25:U,31:M,34:U,35:M,37:U,38:U,41:U,46:M,47:M,50:M,57:U,62:M,63:U
1	757122	757193	1	read7	2	2	2	4:U,7:U,11:U,13:M,14:U,15:U,16:U,17:U,18:U,19:U,21:U,25:M,31:U,34:M,35:M,37:U,38:M,41:M,46:M,47:M,50:U,57:U,62:M,63:M
1	757123	757192	1	read8	1	1	2.9119	3:U,6:M,10:M,12:M,13:M,14:M,15:U,16:M,17:M,18:M,20:U,24:M,30:U,33:M,34:M,36:U,37:U,40:U,45:U,46:U,49:U,56:U,61:M,62:M
1	757123	757194	1	read9	2	3.5	3.5	3:M,6:M,10:M,12:M,13:U,14:U,15:U,16:M,17:M,18:M,20:M,24:M,30:U,33:M,34:U,36:U,37:M,40:U,45:U,46:U,49:M,56:U,61:U,62:U
1	757123	757192	1	read10	1	1	1.06727	3:M,6:M,10:M,12:U,13:U,14:U,15:M,16:M,17:U,18:U,20:M,24:M,30:M,33:U,34:U,36:M,37:U,40:M,45:M,46:U,49:M,56:U,61:U,62:U
1	757186	757257	1	read268	2	2.38095	2.38095	9:M,12:U,13:U,15:U,18:M,30:M,33:M,37:U,46:U,52:M,54:U,55:U,65:U
1	757186	757258	1	read267	2	1.96429	1.96429	9:M,12:M,13:M,15:M,18:M,30:U,33:M,37:M,46:U,52:M,54:M,55:M,65:U
1	757186	757255	1	read266	1	0.714286	0.714286	9:M,12:U,13:M,15:U,18:M,30:U,33:U,37:M,46:U,52:U,54:M,55:M,65:U
1	757180	757249	1	read245	1	0.714286	0.714286	4:M,5:M,15:M,18:M,19:M,21:U,24:M,36:M,39:U,43:M,52:U,58:U,60:M,61:U
1	757174	757247	1	read213	2	1.54762	1.54762	5:U,10:M,11:M,21:M,24:M,25:M,27:U,30:U,42:M,45:U,49:U,58:M,64:M,66:U,67:M
1	757126	757197	1	read20	2	2.66667	2.66667	0:U,3:U,7:U,9:M,10:M,11:M,12:M,13:M,14:M,15:M,17:U,21:M,27:U,30:U,31:M,33:M,34:M,37:M,42:M,43:M,46:M,53:U,58:M,59:M,69:U
1	757131	757200	1	read40	1	0.5	0.5	2:M,4:U,5:U,6:U,7:M,8:M,9:U,10:U,12:M,16:M,22:M,25:M,26:M,28:U,29:U,32:U,37:M,38:M,41:U,48:U,53:M,54:M,64:U,67:M,68:U
1	757166	757235	1	read177	1	0.625	1.17	2:M,3:M,6:U,13:U,18:M,19:M,29:U,32:U,33:U,35:U,38:U,50:U,53:U,57:M,66:M
1	757170	757239	1	read192	1	1	1	2:U,9:U,14:M,15:M,25:M,28:M,29:M,31:U,34:U,46:M,49:U,53:U,62:M,68:M
1	757176	757247	1	read225	2	1.45833	1.45833	3:U,8:M,9:M,19:U,22:M,23:M,25:M,28:U,40:U,43:U,47:M,56:U,62:M,64:U,65:M
1	757186	757255	1	read264	1	0.714286	0.714286	9:U,12:U,13:U,15:M,18:M,30:U,33:M,37:M,46:U,52:M,54:U,55:M,65:U
1	757189	757258	1	read277	1	1.25	1.25	6:U,9:U,10:U,12:M,15:U,27:U,30:U,34:U,43:M,49:U,51:U,52:U,62:M
1	757129	757198	1	read28	1	0.833333	0.833333	0:U,4:M,6:U,7:M,8:M,9:M,10:M,11:M,12:M,14:M,18:U,24:M,27:M,28:M,30:U,31:U,34:U,39:U,40:U,43:U,50:M,55:M,56:M,66:M,69:M
1	757180	757249	1	read242	2	1.42857	1.42857	4:M,5:M,15:U,18:M,19:U,21:U,24:U,36:M,39:U,43:M,52:M,58:M,60:M,61:M
1	757182	757254	1	read250	3	3.66667	0.884637	2:M,3:M,13:U,16:U,17:U,19:U,22:U,34:U,37:U,41:M,50:M,56:M,58:U,59:U,69:M
1	757187	757257	1	read271	2	2.5	2.5	8:U,11:M,12:M,14:M,17:U,29:U,32:U,36:M,45:U,51:M,53:U,54:M,64:M
1	757126	757195	1	read19	1	1	1.22471	0:M,3:M,7:M,9:U,10:U,11:M,12:U,13:U,14:U,15:M,17:U,21:U,27:M,30:M,31:U,33:U,34:M,37:U,42:U,43:U,46:M,53:U,58:U,59:U,69:M
1	757162	757231	1	read162	1	1.66667	1.66667	1:U,6:U,7:U,10:M,17:U,22:U,23:U,33:U,36:U,37:U,39:M,42:M,54:U,57:M,61:M
1	757172	757241	1	read196	1	1	0.424526	0:M,7:U,12:U,13:U,23:U,26:U,27:U,29:M,32:U,44:U,47:U,51:U,60:M,66:U,68:U,69:U
1	757186	757258	1	read265	3	2.79762	2.79762	9:U,12:M,13:U,15:U,18:U,30:M,33:U,37:M,46:M,52:M,54:M,55:M,65:M
1	757187	757256	1	read273	1	0.833333	0.833333	8:U,11:U,12:U,14:U,17:U,29:U,32:U,36:M,45:M,51:M,53:U,54:U,64:M
1	757174	757249	1	read210	7	4.85119	4.85119	5:U,10:U,11:U,21:U,24:U,25:U,27:M,30:U,42:U,45:U,49:U,58:M,64:U,66:U,67:U
1	757173	757242	1	read204	3	1.15385	1.15385	6:U,11:U,12:U,22:U,25:U,26:U,28:M,31:M,43:U,46:M,50:M,59:U,65:M,67:U,68:M
1	757126	757195	1	read17	1	1	1	0:U,3:M,7:M,9:U,10:M,11:M,12:M,13:M,14:M,15:M,17:U,21:M,27:U,30:U,31:U,33:M,34:M,37:U,42:U,43:U,46:U,53:U,58:U,59:U,69:M
1	757127	757196	1	read23	1	1.25	1.49397	2:U,6:M,8:M,9:M,10:M,11:M,12:M,13:M,14:M,16:U,20:U,26:M,29:U,30:M,32:U,33:U,36:U,41:M,42:M,45:M,52:U,57:M,58:U,68:M
1	757128	757197	1	read24	1	1.66667	1.66667	1:U,5:U,7:M,8:U,9:U,10:U,11:U,12:U,13:U,15:U,19:M,25:U,28:M,29:M,31:U,32:M,35:M,40:M,41:M,44:U,51:U,56:M,57:M,67:U
1	757173	757248	1	read203	5	3.22756	1.1891	6:U,11:M,12:M,22:U,25:M,26:U,28:U,31:U,43:M,46:U,50:M,59:M,65:M,67:M,68:M
1	757171	757240	1	read194	1	1.66667	1.66667	1:U,8:U,13:M,14:M,24:U,27:U,28:U,30:U,33:U,45:U,48:U,52:M,61:M,67:M,69:U
