chr	start	end	cid	rid	raw_coverage	norm_coverage	exp_coverage	methylpat
1	757133	757332	1	0	1	1	1	0:M,6:M,10:M,12:M,29:M,34:M,41:M,42:M,48:M,55:M,65:M,68:M,69:M,71:M,77:M,83:M,85:M,90:M,107:M,111:M,123:U,124:U,137:U,147:M,150:M,159:M,162:M,165:M,168:M,179:M,189:U,192:U,199:U
1	757135	757341	1	1	2	2	2	4:U,8:U,10:U,27:M,32:M,39:M,40:M,46:M,53:M,63:M,66:M,67:M,69:M,75:M,81:M,83:M,88:M,105:M,109:M,121:M,122:M,135:U,145:U,148:U,157:U,160:U,163:U,166:U,177:M,187:M,190:M,197:M,201:M
1	757150	757349	1	3	1	1	1.22792	12:U,17:U,24:U,25:U,31:U,38:U,48:M,51:M,52:M,54:M,60:M,66:M,68:M,73:M,90:U,94:U,106:M,107:M,120:U,130:M,133:M,142:M,145:M,148:M,151:M,162:M,172:M,175:M,182:M,186:M,196:M
1	757153	757381	1	5	3	2.33333	2.33333	9:U,14:U,21:U,22:U,28:U,35:U,45:U,48:U,49:U,51:U,57:U,63:U,65:U,70:U,87:U,91:U,103:M,104:M,117:M,127:M,130:M,139:M,142:M,145:M,148:M,159:M,169:M,172:M,179:M,183:M,193:U,212:M,214:M,217:M,222:M,225:M
1	757154	757353	1	6	1	1	1	8:U,13:U,20:U,21:U,27:U,34:U,44:U,47:U,48:U,50:U,56:U,62:U,64:U,69:U,86:U,90:U,102:U,103:U,116:M,126:M,129:M,138:M,141:M,144:M,147:M,158:U,168:U,171:U,178:U,182:U,192:U
1	757164	757364	1	7	2	2	2	3:U,10:U,11:U,17:U,24:U,34:U,37:U,38:U,40:U,46:U,52:U,54:U,59:U,76:M,80:M,92:U,93:U,106:U,116:U,119:U,128:U,131:U,134:U,137:U,148:U,158:U,161:U,168:U,172:U,182:M
1	757166	757365	1	9	1	1	1.34432	1:U,8:U,9:U,15:U,22:U,32:U,35:U,36:U,38:U,44:U,50:U,52:U,57:U,74:M,78:M,90:U,91:U,104:U,114:M,117:M,126:M,129:M,132:M,135:M,146:U,156:U,159:U,166:U,170:U,180:M,199:U
1	757189	757400	1	14	3	2.66667	2.66667	9:M,12:M,13:M,15:M,21:M,27:M,29:M,34:M,51:M,55:M,67:M,68:M,81:M,91:M,94:M,103:M,106:M,109:M,112:M,123:U,133:U,136:U,143:U,147:U,157:U,176:M,178:M,181:M,186:M,189:M,199:M
1	757210	757409	1	17	1	1	1	0:M,6:M,8:M,13:M,30:M,34:M,46:U,47:U,60:M,70:M,73:M,82:M,85:M,88:M,91:M,102:U,112:U,115:U,122:U,126:U,136:U,155:M,157:M,160:M,165:M,168:M,178:U
1	757327	757526	1	31	1	1	0.27754	5:U,9:U,19:U,38:M,40:M,43:M,48:M,51:M,61:U,83:M,88:M,94:M,98:M,103:M,107:M,109:M,114:M,120:M,121:M,124:M,125:M,137:U,144:U,147:U,150:U,160:U,163:U,169:U,174:U,178:U,179:U,195:U,199:U
1	757319	757518	1	29	1	1	1	3:U,6:U,13:U,17:U,27:M,46:U,48:U,51:U,56:U,59:U,69:M,91:M,96:M,102:M,106:M,111:M,115:M,117:M,122:M,128:M,129:M,132:M,133:M,145:U,152:U,155:U,158:U,168:U,171:U,177:U,182:U,186:U,187:U
1	757318	757517	1	28	1	0.666667	0.333333	4:U,7:U,14:U,18:U,28:U,47:M,49:M,52:M,57:M,60:M,70:M,92:U,97:U,103:U,107:U,112:U,116:U,118:U,123:U,129:U,130:U,133:U,134:U,146:U,153:U,156:U,159:U,169:M,172:M,178:M,183:M,187:M,188:M
1	757219	757424	1	19	2	2	2	4:M,21:M,25:M,37:U,38:U,51:U,61:M,64:M,73:M,76:M,79:M,82:M,93:M,103:U,106:U,113:U,117:U,127:U,146:U,148:U,151:U,156:U,159:U,169:U,191:U,196:U,202:U
1	757153	757352	1	4	1	0.666667	0.666667	9:M,14:M,21:M,22:M,28:M,35:M,45:M,48:M,49:M,51:M,57:M,63:M,65:M,70:M,87:M,91:M,103:M,104:M,117:U,127:U,130:U,139:U,142:U,145:U,148:U,159:M,169:M,172:M,179:M,183:M,193:M
1	757318	757517	1	27	1	0.666667	0.248331	4:M,7:M,14:M,18:M,28:U,47:M,49:M,52:M,57:M,60:M,70:M,92:M,97:M,103:M,107:M,112:M,116:M,118:M,123:M,129:M,130:M,133:M,134:M,146:M,153:M,156:M,159:M,169:M,172:M,178:M,183:M,187:M,188:M
1	757346	757545	1	34	1	1	1	0:M,19:U,21:U,24:U,29:U,32:U,42:M,64:M,69:M,75:M,79:M,84:M,88:M,90:M,95:M,101:M,102:M,105:M,106:M,118:U,125:U,128:U,131:U,141:U,144:U,150:U,155:U,159:U,160:U,176:U,180:U,188:U
1	757264	757463	1	24	1	1	1	6:U,16:M,19:M,28:M,31:M,34:M,37:M,48:M,58:M,61:M,68:M,72:M,82:M,101:U,103:U,106:U,111:U,114:U,124:U,146:M,151:M,157:M,161:M,166:M,170:M,172:M,177:M,183:M,184:M,187:M,188:M
1	757351	757551	1	35	2	2	1.57281	14:M,16:M,19:M,24:M,27:M,37:U,59:M,64:M,70:M,74:M,79:M,83:M,85:M,90:M,96:M,97:M,100:M,101:M,113:U,120:U,123:U,126:U,136:U,139:U,145:U,150:U,154:U,155:U,171:U,175:U,183:U,198:M,199:M
1	757353	757552	1	37	1	1	0.390476	12:M,14:M,17:M,22:M,25:M,35:M,57:U,62:U,68:U,72:U,77:U,81:U,83:U,88:U,94:U,95:U,98:U,99:U,111:U,118:U,121:U,124:U,134:M,137:M,143:M,148:M,152:M,153:M,169:M,173:M,181:M,196:M,197:M
1	757366	757573	1	38	3	3	0	1:M,4:M,9:M,12:M,22:U,44:U,49:U,55:U,59:U,64:U,68:U,70:U,75:U,81:U,82:U,85:U,86:U,98:U,105:U,108:U,111:U,121:U,124:U,130:U,135:U,139:U,140:U,156:M,160:M,168:M,183:M,184:M,193:M,198:M,206:M,207:M
1	757370	757569	1	39	1	1	0.812877	0:M,5:M,8:M,18:U,40:U,45:U,51:U,55:U,60:U,64:U,66:U,71:U,77:U,78:U,81:U,82:U,94:M,101:M,104:M,107:M,117:M,120:M,126:M,131:M,135:M,136:M,152:M,156:M,164:M,179:U,180:U,189:U,194:U
1	757343	757542	1	33	1	1	1.95814	3:U,22:M,24:M,27:M,32:M,35:M,45:M,67:M,72:M,78:M,82:M,87:M,91:M,93:M,98:M,104:M,105:M,108:M,109:M,121:M,128:M,131:M,134:M,144:M,147:M,153:M,158:M,162:M,163:M,179:U,183:U,191:U
1	757271	757470	1	25	1	1	1	9:M,12:M,21:M,24:M,27:M,30:M,41:U,51:U,54:U,61:U,65:U,75:U,94:M,96:M,99:M,104:M,107:M,117:U,139:U,144:U,150:U,154:U,159:U,163:U,165:U,170:U,176:U,177:U,180:U,181:U,193:M
1	757231	757430	1	21	1	1	1	9:M,13:M,25:U,26:U,39:U,49:U,52:U,61:U,64:U,67:U,70:U,81:U,91:U,94:U,101:U,105:U,115:M,134:M,136:M,139:M,144:M,147:M,157:U,179:U,184:U,190:U,194:U,199:U
