pos	unmethyl	 methyl
757130	0.874004	0
757133	0.874004	0
757139	0.874004	0
757145	0.874004	0
757147	0.874004	0.125996
757152	0.874004	0.125996
757162	0.874004	0.125996
757178	0.125996	0.874004
757183	0.125996	0.874004
757186	0.125996	0.874004
757188	0.125996	0.874004
757192	0.125996	0.874004
757198	0.125996	0.874004
757203	0.125996	0.874004
757216	0.125996	0.874004
757224	0.125996	0.874004
757226	0.125996	0.874004
757235	0.125996	0.874004
757239	0.125996	0.874004
757250	0.125996	0.874004
757260	0	1
757283	0	1
757289	0	1
757293	0	1
757295	0	1
757299	0	1
757301	0	1
757305	0	1
757309	0	1
757313	0	1
757325	0.844033	0.155967
757336	0.844033	0.155967
757341	0.844033	0.155967
757343	0.844033	0.155967
757350	0.844033	0.155967
757351	0.844033	0.155967
757354	0.844033	0.155967
757366	1	0
757378	0.844033	0.155967
757380	0.844033	0.155967
757383	0.844033	0.155967
757391	0.844033	0.155967
757398	0.844033	0.155967
757399	0.844033	0.155967
757400	0.844033	0.155967
757420	0.155967	0.844033
757444	0.155967	0.844033
757463	0	1
757465	0	1
757477	0	1
757481	0	1
757482	0	1
757491	0	1
757503	0	1
757504	0	1
757507	0	1
757514	0	1
757525	1	0
757527	1	0
757533	1	0
757534	1	0
757537	1	0
757541	1	0
757543	1	0
757552	1	0
757564	0	1
757567	0	1
757569	0	1
757572	0	1
757580	0	0.844033
757599	0.844033	0
757607	0.844033	0
757609	0.844033	0
757610	0.844033	0
757616	0.844033	0
757618	0.844033	0
