pos	unmethyl	 methyl
757129	13	6
757131	19	6
757132	20	7
757135	24	8
757140	33	8
757143	34	8
757151	49	8
757163	41	49
757167	42	50
757169	42	53
757174	49	57
757186	127	0
757192	134	0
757194	129	0
757202	137	0
757217	16	139
757219	17	136
757225	16	128
757231	16	120
757237	17	127
757243	17	123
757253	42	104
757261	40	105
757266	43	98
757270	40	99
757276	39	97
757281	40	96
757284	40	93
757290	42	93
757297	42	95
757314	56	101
757333	0	150
757336	0	150
757344	0	154
757354	78	72
757374	74	74
757379	74	73
757382	69	74
757384	67	72
757391	65	72
757399	67	67
757403	67	67
757406	64	67
757416	59	73
757418	60	72
757431	43	86
757437	45	87
757457	62	66
757459	65	65
757463	63	67
757465	64	67
757471	68	69
757486	108	21
757487	107	20
757499	21	110
757505	20	107
757507	21	105
757508	21	105
757509	20	106
757512	19	106
757530	59	70
757531	59	68
757539	59	69
757544	62	70
757549	68	71
757557	59	66
757558	58	65
757568	47	52
757577	40	48
757579	40	46
757580	39	44
757581	38	42
757582	38	40
757592	15	43
757609	6	21
