pos	unmethyl	 methyl
757122	0	0
757146	0.639804	0.290953
757150	0.639804	0.290953
757157	0.639804	0.290953
757160	0.639804	0.290953
757163	0.639804	0.290953
757170	0.639804	0.290953
757182	0.41921	0.58079
757188	0.41921	0.58079
757197	0.41921	0.58079
757198	0.41921	0.58079
757202	0.41921	0.58079
757203	0.41921	0.58079
757206	0.41921	0.58079
757216	0.710163	0.289837
757226	0.710163	0.289837
757227	0.710163	0.289837
757240	0.64092	0.35908
757248	0.64092	0.35908
757258	0.64092	0.35908
757280	0.64092	0.35908
757286	0.64092	0.35908
757291	0.64092	0.35908
757294	0.64092	0.35908
757298	0.64092	0.35908
757305	0.64092	0.35908
757310	0.64092	0.35908
757311	0.64092	0.35908
757318	0.64092	0.35908
757320	0.64092	0.35908
757356	0.380992	0.619008
757357	0.380992	0.619008
757371	0.17765	0.82235
757375	0.17765	0.82235
757377	0.17765	0.82235
757381	0.17765	0.82235
757383	0.17765	0.82235
757388	0.17765	0.82235
757395	0.17765	0.82235
757405	0.17765	0.82235
757414	0.17765	0.82235
757431	0.784997	0.215003
757436	0.784997	0.215003
757453	0.569279	0.430721
757459	0.569279	0.430721
757464	0.569279	0.430721
757476	0.581673	0.418327
757478	0.581673	0.418327
757484	0.581673	0.418327
757504	0.569279	0.430721
757508	0.569279	0.430721
757518	0.418327	0.581673
757529	0	1
757531	0	0.784282
757539	0	0.784282
757541	0	0.784282
757543	0	0.784282
757545	0	0.784282
757547	0	0.784282
757549	0	0.784282
757556	0	0.784282
757567	0.63333	0.150952
757575	0.215003	0.150952
757582	0.215003	0.150952
757587	0.215003	0.150952
757591	0.215003	0
757595	0.215003	0
757600	0.215003	0
757604	0.215003	0
757610	0.215003	0
757611	0.215003	0
757619	0.215003	0
